name,price,resolutions,connection,focus_type,os,fov
Avermedia 4K UHD Webcam 510,,"[""4k"",""1080p"",""720p"",""480p""]",USB 3.2 Gen 1 Type-C,,"[""Windows""]",85
VDO360 2SEE,23.98,"[""1080p"",""720p""]",USB 2.0 Type-A,,"[""Windows"",""OS X"",""Linux"",""Android""]",75
Logitech C505e,49.06,"[""720p""]",USB 2.0 Type-A,Fixed,"[""Windows"",""OS X"",""ChromeOS""]",60
Microsoft Lifecam Cinema,64.98,"[""720p""]",USB 2.0 Type-A,Auto,"[""Windows""]",73
Microsoft LifeCam CinemaaFor Business,72.98,"[""720p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X""]",
Microsoft LifeCam HD-3000 L2,35.98,"[""720p""]",USB 2.0 Type-A,Fixed,"[""Windows"",""OS X""]",
Avermedia HD Webcam 310,,"[""1080p"",""720p"",""480p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X"",""Android""]",
Avermedia PW310P,59.99,"[""1080p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X"",""ChromeOS""]",73
Microsoft LifeCam Studio for Business,64.98,"[""1080p"",""720p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X""]",75
Green Extreme T200 + Live Streaming Bundle,,"[""1080p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X"",""Android""]",
Green Extreme T300,,"[""1080p"",""720p"",""480p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X"",""Android""]",94
Wansview 105JD,,"[""1080p""]",USB 2.0 Type-A,Manual,"[""Windows"",""OS X"",""Android""]",90
Adesso Cybertrack H4P,,"[""1080p""]",USB 2.0 Type-A,Manual,"[""Windows"",""OS X""]",78
Creative Labs Live! Cam Sync HD,,"[""720p""]",USB 2.0 Type-A,Fixed,"[""Windows"",""OS X""]",
Wansview 102JD,,"[""1080p""]",USB 2.0 Type-A,,"[""Windows"",""OS X"",""Android""]",90
OBSBOT Tiny 4K,239,"[""4k"",""1080p"",""720p""]",USB 3.2 Gen 1 Type-A,Auto,"[""Windows"",""OS X""]",90
Creative Labs BlasterX Senz3D,,"[""1080p"",""720p""]",USB 3.2 Gen 1 Type-A,Auto,"[""Windows""]",77
OBSBOT Tiny,149,"[""1080p"",""720p""]",USB 2.0 Type-A,Auto,"[""Windows"",""OS X""]",86
