name,price,capacity,price_per_gb,type,form_factor,interface
Kingston KC3000,69.98,1024,0.068,SSD,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 PRO NH,874.99,8000,0.109,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,22.99,1000,0.023,7200,3.5,SATA 6.0 Gb/s
Crucial MX500,102.99,2000,0.051,SSD,2.5,SATA 6.0 Gb/s
Intel DC P3608,,4000,,SSD,PCIe,PCIe x8
Crucial P3 Plus,29.99,500,0.06,SSD,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,167.16,4000,0.042,SSD,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M371,39.99,1000,0.04,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980 Pro w/Heatsink,129.99,2000,0.065,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X20,289.99,20000,0.014,7200,3.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S70 Blade,115.46,2000,0.058,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP Cardea Zero Z440,84.99,2000,0.042,SSD,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700,289.99,2000,0.145,SSD,M.2-2280,M.2 PCIe 5.0 X4
Kingston Fury Renegade,134.07,2000,0.067,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP EX2,1699.99,16000,0.106,SSD,2.5,SATA 6.0 Gb/s
Western Digital Blue SN580,55.98,1000,0.056,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP34,77.98,2000,0.039,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_BLACK,132.29,4000,0.033,7200,3.5,SATA 6.0 Gb/s
Intel 670p,39.99,1000,0.04,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung 860 Evo,128.99,1000,0.129,SSD,2.5,SATA 6.0 Gb/s
MSI SPATIUM M461,79.99,2000,0.04,SSD,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4 Plus,129.99,2000,0.065,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green SN350,34.95,960,0.036,SSD,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4.0,59.99,1000,0.06,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,44.99,500,0.09,SSD,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,72.99,2000,0.036,SSD,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD90,47.97,1000,0.048,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,50.99,2000,0.025,7200,3.5,SATA 6.0 Gb/s
Corsair MP700,149.99,1000,0.15,SSD,M.2-2280,M.2 PCIe 5.0 X4
Solidigm P44 Pro,129.99,2000,0.065,SSD,M.2-2280,M.2 PCIe 4.0 X4
Kingston A400,32.47,480,0.068,SSD,2.5,SATA 6.0 Gb/s
TEAMGROUP MP34,171.99,4000,0.043,SSD,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP Cardea Zero Z440 Graphene,47.99,1000,0.048,SSD,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790,152.09,2000,0.076,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate SuperSpeed HDD,,1000,,,2.5,SATA 6.0 Gb/s
Western Digital Green SN350,81.99,1000,0.082,SSD,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD90,85.97,2000,0.043,SSD,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 CORE XT,94.99,2000,0.047,SSD,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,354.99,4000,0.089,SSD,M.2-2280,M.2 PCIe 4.0 X4
Solidigm P44 Pro,49.99,1000,0.05,SSD,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD85,75.97,2000,0.038,SSD,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,46.99,1000,0.047,SSD,2.5,SATA 6.0 Gb/s
Crucial P5 Plus,39.99,500,0.08,SSD,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade,82.59,1000,0.083,SSD,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,203,4000,0.051,SSD,2.5,SATA 6.0 Gb/s
Samsung 970 Evo,85.99,1000,0.086,SSD,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 PRO XT,969.99,8000,0.121,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Cardea A440 Pro,92.99,2000,0.046,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,70.13,1000,0.07,SSD,2.5,SATA 6.0 Gb/s
MSI SPATIUM M461,169.99,4000,0.042,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green SN350,73.11,2000,0.037,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980,39.95,500,0.08,SSD,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM620,102.69,1000,0.103,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung 860 Evo,75.04,500,0.15,SSD,2.5,SATA 6.0 Gb/s
Samsung 980 Pro w/Heatsink,79.98,1000,0.08,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X w/Heatsink,139.99,2000,0.07,SSD,M.2-2280,M.2 PCIe 4.0 X4
Samsung 850 Evo,,250,,SSD,2.5,SATA 6.0 Gb/s
Patriot P300,20.99,256,0.082,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN570,94.99,2000,0.047,SSD,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M461,44.99,1000,0.045,SSD,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,34.9,500,0.07,SSD,2.5,SATA 6.0 Gb/s
MSI SPATIUM M570 HS,269.99,2000,0.135,SSD,M.2-2280,M.2 PCIe 5.0 X4
ADATA XPG GAMMIX S70 Blade,64.98,1000,0.065,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 530,143.01,2000,0.072,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,72.99,4000,0.018,5400,3.5,SATA 6.0 Gb/s
Silicon Power XS70,94.99,2000,0.047,SSD,M.2-2280,M.2 PCIe 4.0 X4
Leven JPS600,69.98,2000,0.035,SSD,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power P34A60,27.97,512,0.055,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X18,295.11,18000,0.016,7200,3.5,SATA 6.0 Gb/s
Patriot Burst Elite,13.99,120,0.117,SSD,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,159.99,8000,0.02,7200,3.5,SATA 6.0 Gb/s
Lexar NM790,96.89,1000,0.097,SSD,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,216.98,4000,0.054,SSD,2.5,SATA 6.0 Gb/s
Samsung 870 QVO,119.99,2000,0.06,SSD,2.5,SATA 6.0 Gb/s
Kingston A400,55.5,960,0.058,SSD,2.5,SATA 6.0 Gb/s
Lexar NM790,188.99,4000,0.047,SSD,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4 Plus,349.99,4000,0.087,SSD,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,79.98,2000,0.04,SSD,2.5,SATA 6.0 Gb/s
TEAMGROUP QX,76.98,2000,0.038,SSD,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,134.97,4000,0.034,7200,3.5,SATA 6.0 Gb/s
Kingston A400,23.5,120,0.196,SSD,2.5,SATA 6.0 Gb/s
Kingston NV2,29.95,250,0.12,SSD,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,15.49,128,0.121,SSD,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M450,29.99,500,0.06,SSD,M.2-2280,M.2 PCIe 4.0 X4
Crucial T700 W/Heatsink,284.99,2000,0.142,SSD,M.2-2280,M.2 PCIe 5.0 X4
TEAMGROUP T-Force Vulcan Z,40.99,1000,0.041,SSD,2.5,SATA 6.0 Gb/s
Mushkin Vortex Redline,97.99,2000,0.049,SSD,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo,,500,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN750,103.55,1000,0.104,SSD,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA EXCERIA G2,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red,73.48,4000,0.018,5400,3.5,SATA 6.0 Gb/s
Samsung 870 QVO,59.99,1000,0.06,SSD,2.5,SATA 6.0 Gb/s
Western Digital Blue SN550,119,1000,0.119,SSD,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM620,140.08,2000,0.07,SSD,M.2-2280,M.2 PCIe 3.0 X4
PNY CS2140,49.99,1000,0.05,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,39.99,1000,0.04,5400,3.5,SATA 6.0 Gb/s
Samsung 990 Pro w/Heatsink,89.99,1000,0.09,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,23.5,500,0.047,7200,3.5,SATA 6.0 Gb/s
Corsair MP600 PRO XT,129.99,2000,0.065,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf NAS,79.99,4000,0.02,5400,3.5,SATA 6.0 Gb/s
Seagate Momentus Thin,13.99,500,0.028,5400,2.5,SATA 3.0 Gb/s
MSI SPATIUM M450,90.99,2000,0.045,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X22,532.83,22000,0.024,7200,3.5,SATA 6.0 Gb/s
Silicon Power UD90,167.99,4000,0.042,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,149.99,4000,0.037,SSD,2.5,SATA 6.0 Gb/s
Samsung 850 Evo,,500,,SSD,2.5,SATA 6.0 Gb/s
Seagate FireCuda 530,79.99,1000,0.08,SSD,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG SX8200 Pro,56.47,1000,0.056,SSD,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket Q,,8000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung 870 Evo,32.31,250,0.129,SSD,2.5,SATA 6.0 Gb/s
