name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Dominator Platinum RGB 64 GB,324.99,"[5,6800]","[2,32]",5.078,Black,11.765,40
G.Skill Ripjaws V 32 GB,66.99,"[4,3600]","[2,16]",2.093,Black,10,18
Corsair Vengeance LPX 8 GB,24.99,"[4,2400]","[1,8]",3.124,Black / Yellow,13.333,16
Crucial Pro 32 GB,58.99,"[4,3200]","[2,16]",1.843,Black,13.75,22
TEAMGROUP T-Create Expert 32 GB,104.99,"[5,6000]","[2,16]",3.281,Black,10,30
Corsair Vengeance RGB 32 GB,124.99,"[5,6000]","[2,16]",3.906,Gray,10,30
G.Skill Aegis 16 GB,39.99,"[4,3200]","[2,8]",2.499,Red / Black,10,16
Kingston FURY Beast RGB 32 GB,139.75,"[5,6000]","[2,16]",4.367,Black,12,36
TEAMGROUP T-Force Delta RGB 16 GB,45.99,"[4,3600]","[2,8]",2.874,White,10,18
G.Skill Trident Z5 Neo RGB 64 GB,207.99,"[5,6000]","[2,32]",3.25,Black / Silver,10,30
G.Skill Ripjaws V 16 GB,39.99,"[4,3600]","[2,8]",2.499,Black,10,18
Corsair Vengeance RGB 128 GB,444.99,"[5,5600]","[4,32]",3.476,Black,14.286,40
Corsair Vengeance 64 GB,236.45,"[5,6600]","[2,32]",3.695,Black / Gray,9.697,32
Corsair Vengeance 64 GB,179.99,"[5,5600]","[2,32]",2.812,Black,14.286,40
G.Skill Ripjaws S5 32 GB,104.99,"[5,6400]","[2,16]",3.281,Black,10,32
Patriot Viper Black 16 GB,57.99,"[5,5200]","[2,8]",3.624,Black / White,13.846,36
G.Skill Ripjaws S5 32 GB,102.99,"[5,6000]","[2,16]",3.218,White,10,30
Corsair Vengeance 64 GB,204.99,"[5,6400]","[2,32]",3.203,Black / Gray,10,32
G.Skill Trident Z Neo 32 GB,97.99,"[4,3600]","[2,16]",3.062,Black / Silver,8.889,16
TEAMGROUP T-Create Expert 32 GB,79.99,"[5,6000]","[2,16]",2.5,Black,12.667,38
G.Skill Trident Z5 RGB 48 GB,279.99,"[5,8000]","[2,24]",5.833,Black,10,40
TEAMGROUP Vulcan Z 16 GB,35.99,"[4,3600]","[2,8]",2.249,Black,10,18
Corsair Dominator Platinum RGB 32 GB,149.99,"[5,6200]","[2,16]",4.687,Black,11.613,36
Corsair Vengeance RGB 32 GB,99.99,"[5,5200]","[2,16]",3.125,Black,15.385,40
G.Skill Trident Z5 RGB 32 GB,1935.33,"[5,5600]","[2,16]",60.479,White / Black,12.857,36
Corsair Vengeance 32 GB,124.99,"[5,6400]","[2,16]",3.906,Black,10,32
Corsair Vengeance RGB Pro 32 GB,89.99,"[4,3200]","[2,16]",2.812,White,10,16
Corsair Vengeance RGB Pro 16 GB,57.99,"[4,3600]","[2,8]",3.624,Black,10,18
TEAMGROUP T-Force Delta RGB 32 GB,92.99,"[5,6000]","[2,16]",2.906,White,12.667,38
G.Skill Ripjaws V 64 GB,117.99,"[4,3600]","[2,32]",1.844,Black,10,18
G.Skill Flare X5 32 GB,94.99,"[5,6000]","[2,16]",2.968,Black,10.667,32
Kingston ValueRAM 4 GB,7.38,"[4,3200]","[1,4]",1.845,Green,13.75,22
G.Skill Trident Z5 RGB 96 GB,399.99,"[5,6800]","[2,48]",4.167,Black,10,34
G.Skill Trident Z RGB 32 GB,79.99,"[4,3600]","[2,16]",2.5,Black,10,18
Corsair Vengeance 32 GB,164.99,"[5,7200]","[2,16]",5.156,Gray,9.444,34
Kingston HyperX Fury 16 GB,,"[4,3200]","[2,8]",,Black / Silver,10,16
TEAMGROUP Elite 32 GB,48.49,"[4,3200]","[2,16]",1.515,Black,13.75,22
Kingston FURY Beast 8 GB,29.31,"[4,3200]","[1,8]",3.664,Black,10,16
Kingston ValueRAM 1 GB,10,"[2,667]","[1,1]",10,Green,14.993,5
Corsair Vengeance 16 GB,79.98,"[3,1600]","[2,8]",4.999,Black / Yellow,11.25,9
G.Skill Trident Z5 RGB 64 GB,269.99,"[5,6800]","[2,32]",4.219,Black,10,34
G.Skill Ripjaws V 32 GB,72.98,"[4,4000]","[2,16]",2.281,Black,9,18
Corsair Vengeance LPX 16 GB,39.99,"[4,3200]","[2,8]",2.499,Black,10,16
TEAMGROUP T-Force Delta RGB 48 GB,,"[5,8200]","[2,24]",,Black,9.268,38
Corsair Dominator Platinum RGB 64 GB,369.99,"[5,6600]","[4,16]",5.781,Black,9.697,32
Corsair Vengeance RGB Pro 32 GB,109.99,"[4,3200]","[4,8]",3.437,Black,10,16
Kingston FURY Beast 16 GB,79.99,"[5,6000]","[2,8]",4.999,Black,13.333,40
Corsair Vengeance RGB 192 GB,689.99,"[5,5200]","[4,48]",3.594,Black,14.615,38
TEAMGROUP T-Create Expert 32 GB,58.99,"[4,3600]","[2,16]",1.843,Gray,10,18
TEAMGROUP T-Force Delta RGB 16 GB,44.99,"[4,3200]","[2,8]",2.812,White,10,16
G.Skill Trident Z RGB 64 GB,139.99,"[4,3600]","[2,32]",2.187,Black,10,18
Corsair Vengeance RGB 32 GB,94.99,"[5,5600]","[2,16]",2.968,Black / Gray,12.857,36
Kingston FURY Renegade 32 GB,90.81,"[4,3600]","[2,16]",2.838,Black,8.889,16
TEAMGROUP T-Create Expert 32 GB,57.99,"[4,3200]","[2,16]",1.812,Gray,10,16
Corsair Vengeance RGB 32 GB,105,"[5,6400]","[2,16]",3.281,Black / Gray,10,32
TEAMGROUP Elite 16 GB,,"[4,3200]","[2,8]",,Black,13.75,22
Silicon Power XPOWER Zenith Gaming 32 GB,69.97,"[5,6000]","[2,16]",2.187,White,13.333,40
Kingston FURY Beast RGB 16 GB,89.99,"[5,6000]","[2,8]",5.624,Black,13.333,40
Patriot Viper Steel 16 GB,,"[4,3200]","[2,8]",,Silver / Black,10,16
Corsair Vengeance 128 GB,439.99,"[5,5600]","[4,32]",3.437,Black,14.286,40
G.Skill Aegis 32 GB,62.99,"[4,3200]","[2,16]",1.968,Red / Black,10,16
Corsair Vengeance LPX 16 GB,44.99,"[4,3200]","[2,8]",2.812,White,10,16
Silicon Power SP032GXLWU600FDEAE 32 GB,,"[5,6000]","[2,16]",,Black,13.333,40
Samsung M378A1K43CB2-CRC 8 GB,14.24,"[4,2400]","[1,8]",1.78,Green,14.167,17
TEAMGROUP T-Force Vulcan Z 32 GB,59.99,"[4,3200]","[2,16]",1.875,Gray,10,16
Kingston FURY Beast RGB 16 GB,54.99,"[4,3200]","[2,8]",3.437,Black,10,16
Corsair Vengeance 64 GB,209.99,"[5,6000]","[2,32]",3.281,Black / Gray,10,30
Crucial CT2K8G4DFRA32A 16 GB,34.99,"[4,3200]","[2,8]",2.187,Green,13.75,22
Corsair Vengeance RGB 32 GB,129.99,"[5,7200]","[2,16]",4.062,Black,9.444,34
Corsair Dominator Platinum RGB 64 GB,225.99,"[5,5600]","[2,32]",3.531,White,14.286,40
TEAMGROUP T-Create Classic 32 GB,75.99,"[5,5600]","[2,16]",2.375,Black,16.429,46
G.Skill Trident Z5 RGB 32 GB,199.99,"[5,7800]","[2,16]",6.25,Black,9.231,36
Silicon Power XPOWER Turbine 32 GB,51.97,"[4,3200]","[2,16]",1.624,Blue,10,16
Corsair Vengeance RGB Pro 64 GB,189.99,"[4,3600]","[4,16]",2.969,Black,10,18
Corsair Vengeance LPX 16 GB,54.99,"[4,3600]","[2,8]",3.437,Black / Yellow,8.889,16
G.Skill Trident Z RGB 128 GB,289.99,"[4,3600]","[4,32]",2.266,Black,10,18
Crucial CT16G48C40U5 16 GB,45.95,"[5,4800]","[1,16]",2.872,Black,16.667,40
G.Skill Ripjaws S5 64 GB,174.99,"[5,5600]","[2,32]",2.734,Black,10,28
TEAMGROUP T-Force Vulcan 32 GB,84.99,"[5,5600]","[2,16]",2.656,Black,11.429,32
TEAMGROUP T-Force Vulcan 32 GB,86.99,"[5,6000]","[2,16]",2.718,Black,12.667,38
G.Skill Trident Z RGB 16 GB,57.99,"[4,3200]","[2,8]",3.624,Black,10,16
TEAMGROUP T-Force Delta RGB 64 GB,174.99,"[5,6000]","[2,32]",2.734,White / Silver,12.667,38
ADATA XPG GAMMIX D20 16 GB,37.99,"[4,3200]","[2,8]",2.374,Black / Silver,10,16
G.Skill Ripjaws V 32 GB,82.99,"[4,4400]","[2,16]",2.593,Black,8.636,19
G.Skill Trident Z5 RGB 32 GB,119.99,"[5,6000]","[2,16]",3.75,White / Black,10,30
Corsair Vengeance RGB RT 256 GB,,"[4,3600]","[8,32]",,Black,10,18
G.Skill Trident Z5 RGB 64 GB,214.99,"[5,6400]","[2,32]",3.359,Silver / Black,10,32
TEAMGROUP Elite 32 GB,73.98,"[5,5600]","[2,16]",2.312,Black,16.429,46
Corsair Vengeance LPX 16 GB,44.99,"[4,3000]","[2,8]",2.812,Black / Yellow,10,15
Corsair Vengeance LPX 64 GB,129.99,"[4,3600]","[2,32]",2.031,Black,10,18
Crucial CT8G4DFS824A 8 GB,14.99,"[4,2400]","[1,8]",1.874,Green,14.167,17
