name,Price,type,interface,capacity,price_per_gb,color
Samsung D3 Station,0,Desktop,USB Type-A 3.2 Gen 1,3000,,
Samsung D3 Station,0,Desktop,,4000,,
Samsung D3 Station,0,Desktop,USB Type-A 3.2 Gen 1,4000,,
Samsung D3 Station,0,Desktop,USB Type-A 3.2 Gen 1,5000,,
Samsung D3 Station,0,Desktop,USB Type-A 3.2 Gen 1,6000,,
Seagate Expansion,127.49,Desktop,USB Type-A 3.2 Gen 1,5000,0.025,
Seagate Backup Plus,218.99,Desktop,USB Type-A 3.2 Gen 1,5000,0.044,
Seagate Backup Plus,0,Desktop,USB Type-A 3.2 Gen 1,3000,,
Hitachi HGST Touro Desk,0,Desktop,USB Type-A 3.2 Gen 1,4000,,
Apricom Aegis Padlock DT,0,Desktop,USB Type-A 3.2 Gen 1,2000,,
Apricom Aegis Padlock DT,0,Desktop,USB Type-A 3.2 Gen 1,1000,,
Apricom Aegis Padlock DT,175.99,Desktop,USB Type-A 3.2 Gen 1,2000,0.088,
Axiom USB3HD35S1TB-AX,0,Desktop,USB Type-A 3.2 Gen 1,1000,,
Axiom USB3HD35S250-AX,0,Desktop,,250,,
Axiom USB3HD35S2TB-AX,0,Desktop,USB Type-A 3.2 Gen 1,2000,,
Axiom USB3HD35S3TB-AX,0,Desktop,USB Type-A 3.2 Gen 1,3000,,
Axiom USB3HD35S500-AX,0,Desktop,,500,,
Buslink CSC-1T-U2,0,Desktop,USB Type-A 2.0,1000,,
Buslink CSC-2T-U3,0,Desktop,USB Type-A 3.2 Gen 1,2000,,
Imation Apollo Pro UX,0,Desktop,USB Type-A 2.0,1000,,
Transcend StoreJet 35T3,0,Desktop,USB Type-A 3.2 Gen 1,2000,,
Toshiba Canvio Desk,0,Desktop,USB Type-A 3.2 Gen 1,5000,,
LaCie Porsche Design,0,Desktop,USB Type-A 3.2 Gen 1,8000,,
Seagate Expansion,299.99,Desktop,USB Type-A 3.2 Gen 1,5000,0.06,
Buslink CipherShield,0,Desktop,USB Type-A 3.2 Gen 1,6000,,
Edge Tech EDGDG-236236-PE,0,Desktop,USB Type-A 3.2 Gen 1,4000,,
G-Technology G-DRIVE,0,Desktop,"IEEE 1394B 9-Pin, eSATA 6.0 Gb/s, USB Type-A 3.2 Gen 1",2000,,
G-Technology G-DRIVE,0,Desktop,"IEEE 1394B 9-Pin, eSATA 6.0 Gb/s, USB Type-A 3.2 Gen 1",3000,,
G-Technology G-DRIVE,0,Desktop,"IEEE 1394B 9-Pin, eSATA 6.0 Gb/s, USB Type-A 3.2 Gen 1",4000,,
Western Digital My Book,147.88,Desktop,USB Type-A 3.2 Gen 1,3000,0.049,Black
Western Digital easystore,0,Desktop,USB Type-A 3.2 Gen 1,4000,,Black
Verbatim 99399,184.8,Desktop,USB Type-A 3.2 Gen 1,4000,0.046,Black
Seagate STEB6000403,0,Desktop,USB Type-A 3.2 Gen 1,6000,,Black
Seagate Expansion,0,Desktop,USB Type-A 3.2 Gen 1,14000,,Black
LaCie Porsche Design,0,Desktop,USB Type-A 3.2 Gen 1,1000,,Silver
LaCie Porsche Design,0,Desktop,USB Type-A 3.2 Gen 1,2000,,Silver
Seagate Backup Plus,0,Desktop,USB Type-A 3.2 Gen 1,4000,,Black
ADATA DashDrive,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Buffalo Technology MiniStation,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Buffalo Technology MiniStation,0,Portable,USB Type-A 3.2 Gen 1,2000,,
Buffalo Technology MiniStation,0,Portable,USB Type-A 3.2 Gen 1,500,,
Buffalo Technology MiniStation Extreme,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Buffalo Technology MiniStation Extreme,0,Portable,USB Type-A 3.2 Gen 1,500,,
LaCie Rugged Mini,0,Portable,USB Type-A 3.2 Gen 1,500,,
LaCie Rikiki,0,Portable,USB Type-A 3.2 Gen 1,500,,
LaCie Rugged,0,Portable,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",500,,
LaCie Rugged,0,Portable,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",1000,,
LaCie Porsche Design,0,Portable,USB Type-A 3.2 Gen 1,500,,
Western Digital My Passport Studio,0,Portable,"IEEE 1394B 9-Pin, USB Type-A 2.0",1000,,
Western Digital ELEMENTS,0,Portable,USB Type-A 3.2 Gen 1,1500,,
Western Digital My Passport,219.99,Portable,USB Type-A 3.2 Gen 1,2000,0.11,
LaCie Rugged Mini,0,Portable,USB Type-A 3.2 Gen 1,1500,,
LaCie Little Big Disk,0,Portable,Thunderbolt,512,,
LaCie Porsche Design,0,Portable,USB Type-A 3.2 Gen 1,120,,
LaCie Rugged,0,Portable,"Thunderbolt, USB Type-A 3.2 Gen 1",256,,
LaCie Porsche Design,0,Portable,,250,,
Verbatim Store 'n' Go,0,Portable,USB Type-A 3.2 Gen 1,128,,
Verbatim Store 'n' Go,0,Portable,USB Type-A 3.2 Gen 1,256,,
Verbatim Titan XS,90.67,Portable,,1000,0.091,
Verbatim Freecom,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Verbatim 97805,0,Portable,USB Type-A 3.2 Gen 1,500,,
Verbatim 97806,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Samsung P3,0,Portable,USB Type-A 3.2 Gen 1,500,,
Samsung P3 Portable,0,Portable,USB Type-A 3.2 Gen 1,2000,,
Samsung MU-PS250B/AM,0,Portable,USB Type-A 3.2 Gen 1,250,,
Samsung MU-PS500B/AM,0,Portable,USB Type-A 3.2 Gen 1,500,,
Hitachi GST Touro Mobile Pro,0,Portable,USB Type-A 3.2 Gen 1,500,,
Hitachi HGST Touro Mobile,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Hitachi HGST Touro Mobile Pro,0,Portable,USB Type-A 3.2 Gen 1,1000,,
HP HPHDD2E30500AS1-RBU,0,Portable,USB Type-A 3.2 Gen 1,500,,
ADATA CH11,0,Portable,USB Type-A 3.2 Gen 1,500,,
ADATA AHV620-2TU3-CBK,139.97,Portable,USB Type-A 3.2 Gen 1,2000,0.07,
ADATA AHV620-500GU3-CBK,0,Portable,USB Type-A 3.2 Gen 1,500,,
ADATA DashDrive SE720,0,Portable,USB Type-A 3.2 Gen 1,128,,
ADATA SH14,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Apricom Aegis Bio,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Apricom Aegis Bio 3.0,0,Portable,USB Type-A 3.2 Gen 1,512,,
Apricom Aegis Padlock,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Apricom Aegis Padlock,0,Portable,USB Type-A 3.2 Gen 1,500,,
Apricom Aegis Padlock Fortress,0,Portable,USB Type-A 3.2 Gen 1,500,,
Apricom Aegis Padlock,153.88,Portable,USB Type-A 3.2 Gen 1,500,0.308,
Apricom Aegis Padlock Fortress,163.27,Portable,USB Type-A 3.2 Gen 1,500,0.327,
Apricom Aegis Portable 3.0,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Apricom Aegis Portable 3.0,0,Portable,USB Type-A 3.2 Gen 1,500,,
Apricom Aegis Padlock,0,Portable,USB Type-A 2.0,1000,,
Apricom Aegis Padlock,0,Portable,USB Type-A 2.0,320,,
Apricom Aegis Padlock,0,Portable,,500,,
Axiom Mobile-D,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Axiom Mobile-D,0,Portable,USB Type-A 3.2 Gen 1,250,,
Axiom Mobile-D,0,Portable,USB Type-A 3.2 Gen 1,320,,
Axiom Mobile-D,0,Portable,USB Type-A 3.2 Gen 1,500,,
Axiom Mobile-D,0,Portable,USB Type-A 3.2 Gen 1,750,,
Transcend StoreJet,0,Portable,USB Type-A 2.0,750,,
Transcend StoreJet,0,Portable,USB Type-A 3.2 Gen 1,500,,
Transcend StoreJet,0,Portable,USB Type-A 2.0,500,,
Imation Apollo Expert,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Toshiba Canvio Connect,0,Portable,USB Type-A 3.2 Gen 1,750,,
Toshiba Canvio Connect,0,Portable,USB Type-A 3.2 Gen 1,1500,,
Toshiba Canvio Connect,0,Portable,USB Type-A 3.2 Gen 1,2000,,
Toshiba Canvio Slim II,101,Portable,USB Type-A 3.2 Gen 1,1000,0.101,
Toshiba Canvio Slim II,109,Portable,,1000,0.109,
Lenovo ThinkPad,0,Portable,USB Type-A 3.2 Gen 1,750,,
Lenovo ThinkPad,0,Portable,USB Type-A 3.2 Gen 1,500,,
Transcend TS128GESD200K,0,Portable,USB Type-A 3.2 Gen 1,128,,
Transcend TS128GSJC10K,0,Portable,USB Type-A 3.2 Gen 1,128,,
Samsung T1,0,Portable,USB Type-A 3.2 Gen 1,1000,,
Western Digital My Passport,0,Portable,USB Type-A 3.2 Gen 1,2000,,
SanDisk Extreme 900,0,Portable,USB Type-A 3.2 Gen 2,480,,
ADATA SD600,0,Portable,USB Type-A 3.2 Gen 1,256,,
ADATA SD700,0,Portable,USB Type-A 3.2 Gen 1,1000,,
ADATA SD700,0,Portable,USB Type-A 3.2 Gen 1,256,,
ADATA SD700,0,Portable,USB Type-A 3.2 Gen 1,512,,
ADATA SE730,0,Portable,USB Type-C 3.2 Gen 1,250,,
Seagate Backup Plus Portable,0,Portable,USB Type-A 3.2 Gen 1,5000,,Blue
Buffalo Technology Americas MiniStation,0,Portable,USB Type-A 3.2 Gen 1,2000,,Black
Apricom Apricorn Aegis Padlock,0,Portable,USB Type-A 3.2 Gen 1,128,,Black
Buffalo Technology Americas MiniStation,0,Portable,USB Type-A 3.2 Gen 1,1000,,Black
Apricom Aegis Padlock,294.99,Portable,USB Type-A 3.2 Gen 1,512,0.576,Black
Seagate Backup Plus Portable,184.49,Portable,USB Type-A 3.2 Gen 1,4000,0.046,Blue / White
Seagate Backup Plus Ultra Touch,0,Portable,USB Type-A 3.2 Gen 1,1000,,White
Seagate Backup Plus Ultra Touch,0,Portable,USB Type-A 3.2 Gen 1,2000,,Black
Western Digital G-DRIVE Mobile,0,Portable,"USB Type-A 2.0, USB Type-C 3.2 Gen 1",4000,,Silver
Western Digital G-DRIVE Mobile,0,Portable,USB Type-C 3.2 Gen 1,2000,,Silver
Western Digital G-DRIVE Mobile,0,Portable,USB Type-C 3.2 Gen 1,1000,,Silver
Western Digital My Passport,102,Portable,USB Type-A 3.2 Gen 1,4000,0.025,Red
Apacer AS722,0,Portable,USB Type-C 3.2 Gen 1,512,,Black
Apacer AS721,0,Portable,USB Type-C 3.2 Gen 1,250,,Black
Apacer AS721,0,Portable,USB Type-C 3.2 Gen 1,500,,Black
Apacer AS721,0,Portable,USB Type-C 3.2 Gen 1,1000,,Black
SanDisk G-DRIVE ArmorLock,0,Portable,USB Type-C 3.2 Gen 1,2000,,Black / Yellow
Western Digital My Passport Ultra,0,Portable,USB Type-A 3.2 Gen 2,3000,,White
Samsung T7 Portable,0,Portable,USB Type-C 3.2 Gen 2,1000,,Silver
Samsung T5 Portable,0,Portable,USB Type-C 3.2 Gen 2,1000,,Red
Samsung T5 Portable,0,Portable,USB Type-C 3.2 Gen 2,500,,Red
Samsung T5 Portable,0,Portable,USB Type-C 3.2 Gen 2,500,,Gold
Samsung T5 Portable,0,Portable,USB Type-C 3.2 Gen 2,1000,,Gold
Samsung T3 Portable,0,Portable,USB Type-C 3.2 Gen 1,500,,
Samsung T3 Portable,0,Portable,USB Type-C 3.2 Gen 1,2000,,
Samsung T3 Portable,0,Portable,USB Type-C 3.2 Gen 1,250,,
Seagate One Touch,195.99,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",2000,0.098,Blue
Seagate One Touch,269.99,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",2000,0.135,Silver
Seagate One Touch,105.69,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",1000,0.106,Blue
Seagate One Touch,77.56,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",500,0.155,Silver
Seagate One Touch,78.5,Portable,USB Type-A 3.2 Gen 1,1000,0.079,Blue
Seagate One Touch,62.99,Portable,USB Type-A 3.2 Gen 1,1000,0.063,Red
Seagate One Touch,0,Portable,USB Type-A 3.2 Gen 1,1000,,Gray
Seagate One Touch,0,Portable,USB Type-A 3.2 Gen 1,2000,,Red
Seagate One Touch,114,Portable,USB Type-A 3.2 Gen 1,2000,0.057,
Seagate One Touch,114.99,Portable,USB Type-A 3.2 Gen 1,4000,0.029,Blue
Seagate One Touch,0,Portable,USB Type-A 3.2 Gen 1,4000,,Gray
Seagate One Touch,219,Portable,USB Type-A 3.2 Gen 1,5000,0.044,Blue
KIOXIA EXCERIA PLUS,281.99,Portable,USB Type-C 3.2 Gen 2,2000,0.141,Gray
KIOXIA EXCERIA PLUS,93.99,Portable,USB Type-C 3.2 Gen 2,500,0.188,Gray
Silicon Power PC60,0,Portable,USB Type-C 3.2 Gen 2,4000,,Black
Silicon Power PC60,0,Portable,USB Type-C 3.2 Gen 2,1920,,Black
Silicon Power PC60,85.92,Portable,USB Type-C 3.2 Gen 2,960,0.089,Black
Silicon Power PC60,0,Portable,USB Type-C 3.2 Gen 2,480,,Black
Silicon Power PC60,0,Portable,USB Type-C 3.2 Gen 2,256,,Black
Silicon Power PC60,137.44,Portable,USB Type-C 3.2 Gen 2,240,0.573,Black
Silicon Power Bolt B75 Pro,0,Portable,USB Type-C 3.2 Gen 2,4000,,Black
Silicon Power Bolt B75 Pro,0,Portable,USB Type-C 3.2 Gen 2,256,,Black
Silicon Power Bolt B75,0,Portable,USB Type-C 3.2 Gen 1,4000,,Silver
Silicon Power Bolt B75,0,Portable,USB Type-C 3.2 Gen 1,2000,,Silver
Silicon Power Bolt B75,0,Portable,USB Type-C 3.2 Gen 1,1000,,Silver
Silicon Power Bolt B75,223.9,Portable,USB Type-C 3.2 Gen 1,960,0.233,Silver
Silicon Power Bolt B75,0,Portable,USB Type-C 3.2 Gen 1,512,,Silver
Silicon Power Bolt B75,0,Portable,USB Type-C 3.2 Gen 1,240,,Silver
Silicon Power Bolt B75,0,Portable,USB Type-C 3.2 Gen 1,128,,Silver
Silicon Power Bolt B75,0,Portable,USB Type-C 3.2 Gen 1,120,,Silver
Silicon Power Stream S05,0,Portable,USB Type-A 3.2 Gen 1,4000,,Black
Silicon Power Stream S05,0,Portable,USB Type-A 3.2 Gen 1,2000,,Black
Silicon Power Stream S05,0,Portable,USB Type-A 3.2 Gen 1,1000,,Black
