name,Price,type,interface,capacity,price_per_gb,color
Samsung T7 Shield,79.98,Portable,USB Type-C 3.2 Gen 2,1000,0.08,Black
Buslink DL-4TSDU31G2,599.88,Portable,USB Type-A 3.2 Gen 2,4000,0.15,Black
Western Digital ELEMENTS,0,Portable,USB Type-A 3.2 Gen 1,2000,,
Crucial X9 Pro,215.99,Portable,USB Type-C 3.2 Gen 2,4000,0.054,Silver
Kingston XS1000,65.98,Portable,USB Type-C 3.2 Gen 2,1000,0.066,Black
Western Digital WD_BLACK D10,289.99,Desktop,USB Type-A 3.2 Gen 2,12000,0.024,Black
Kingston XS2000,79.98,Portable,USB Type-C 3.2 Gen 2x2,1000,0.08,Silver
Western Digital My Passport Ultra Portable,139.99,Portable,USB Type-A 3.2 Gen 1,2000,0.07,
Seagate Expansion,215.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.027,
Apricom Aegis Padlock DT,0,Portable,USB Type-A 3.2 Gen 1,14000,,Black
Seagate Backup Plus Hub,249.99,Desktop,USB Type-A 3.2 Gen 2,8000,0.031,
Seagate Backup Plus Portable,119,Portable,USB Type-A 3.2 Gen 1,5000,0.024,Black
Toshiba Canvio Basics 3.0,101,Portable,,2000,0.05,
Apricom ASSD-3PL256-480F,289.95,Desktop,USB Type-A 2.0,480,0.604,
Asus FX HDD,0,Portable,USB Type-A 3.2 Gen 2,2000,,Black
Western Digital My Book,237.99,Desktop,USB Type-A 3.2 Gen 2,12000,0.02,Black
Seagate One Touch,329.99,Desktop,USB Type-A 3.2 Gen 1,16000,0.021,Black
Samsung T5,399.99,Portable,USB Type-C 3.2 Gen 1,2000,0.2,Black
Corsair EX100U,69.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.07,Black
Western Digital My Book,149.99,Desktop,USB Type-A 3.2 Gen 1,6000,0.025,Black
Verbatim Vx460,38.99,Portable,USB Type-A 3.2 Gen 1,256,0.152,Black
LaCie 5big,0,Desktop,Thunderbolt,25000,,
Western Digital My Passport,129.99,Portable,USB Type-A 3.2 Gen 1,4000,0.032,White
Kingston XS2000,171.08,Portable,USB Type-C 3.2 Gen 2x2,2000,0.086,Silver
Kingston XS2000,42.99,Portable,USB Type-C 3.2 Gen 2x2,500,0.086,Silver
