name,Price,tracking_method,connection_type,max_dpi,hand_orientation,color
SteelSeries Rival 650 Wireless,57.99,Optical,Wireless,12000,Right,Black
Asus TUF Gaming M3,19.99,Optical,Wired,7000,Right,Black
Glorious MODEL D,47.99,Optical,Wired,12000,Right,Black
Logitech G903 HERO,117.99,Optical,Wireless,25600,Both,Black
Razer Naga Pro,96.1,Optical,Wireless,20000,Right,Black
Corsair DARKSTAR,149.99,Optical,"Wireless, Bluetooth Wireless",26000,Right,Black
Corsair SABRE RGB PRO CHAMPION SERIES,43.99,Optical,Wired,18000,Right,Black
Corsair M65 RGB ULTRA,60.99,Optical,Wired,26000,Right,Black / Silver
Logitech MX MASTER 3S,91.99,Optical,Wireless,8000,Right,Black
Logitech G502 X,54.99,Optical,Wired,25600,Right,White
Asus P707 ROG SPATHA X,109.99,Optical,Wireless,19000,Right,Black
Logitech G Pro X Superlight,129.99,Optical,Wireless,25400,Right,Pink
SteelSeries Rival 600,46,Optical,Wired,12000,Right,Black
Redragon M908 IMPACT MMO,33.82,Optical,Wired,12400,Right,Black
Logitech MX MASTER 2S (Black),65.5,Laser,Wireless,4000,Right,Black
Glorious MODEL D,49.99,Optical,Wired,12000,Right,White
Razer Viper Ultimate w/Dock,109.52,Optical,Wireless,20000,Both,Pink
MSI Clutch GM11,22.99,Optical,Wired,5000,Right,Black
NZXT Lift,39.98,Optical,Wired,16000,Right,Black
Razer Basilisk Ultimate,97.99,Optical,"Wired, Wireless",20000,Right,Black / Green
HP HyperX Pulsefire Haste,49.56,Optical,Wireless,16000,Right,Black
Corsair M65 RGB ULTRA WIRELESS,99.99,Optical,Wireless,26000,Right,
Asus ROG HARPE ACE AIM LAB EDITION,127.5,Optical,"Wired, Wireless",36000,Right,White
Corsair HARPOON RGB PRO,34.99,Optical,Wired,12000,Right,Black
Razer DeathAdder Elite,42.5,Optical,Wired,16000,Right,Black / Green
Razer Orochi V2,49.99,Optical,Wireless,18000,Right,White
Logitech G102 LIGHTSYNC RGB,31.91,Optical,Wired,8000,Right,Black
Adesso HC-3003US,7.95,Optical,Wired,1000,Both,Black
Corsair IRONCLAW RGB WIRELESS,59.99,Optical,Wireless,18000,Right,Black
SteelSeries 62050,329,Optical,Wired,3600,Right,Black
Cooler Master MM720 Glossy,16.98,Optical,Wired,16000,Right,White
HP HyperX Pulsefire FPS Pro,24.99,Optical,Wired,16000,Right,Black
Logitech G305 LIGHTSPEED,,Optical,Wireless,12000,Right,White
Corsair GLAIVE RGB Aluminum,164.91,Optical,Wired,16000,Right,Black
Logitech G502 SE HERO,52.99,Optical,Wired,25600,Right,Black / Silver
Logitech G705,76.14,Optical,"Wired, Wireless, Bluetooth Wireless",8200,Right,White
Logitech G305 LIGHTSPEED,41.4,Optical,Wireless,12000,Right,Blue / Green
Genius DX 110,12.47,Optical,Wired,1000,Both,Black
Razer Viper Mini Signature Edition,,Optical,"Wired, Wireless",30000,Right,Black
Logitech G502 X,108.99,Optical,"Wired, Wired, Wireless",25600,Right,White
Logitech G604 LIGHTSPEED,119.89,Optical,Wireless,25600,Right,Black
Glorious Model I,59.99,Optical,Wired,19000,Right,Black / Red
Razer Basilisk Ultimate,79.99,Optical,Wireless,20000,Right,Black
SteelSeries Aerox 3,54.99,Optical,Wired,8500,Right,Black
Razer Cobra Pro,128.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Corsair SCIMITAR ELITE WIRELESS MMO,129.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
HP HyperX Pulsefire Surge,34.99,Optical,Wired,16000,Right,Black
Logitech M317,14.99,Laser,Wireless,,Both,Black
Logitech PRO Wireless,191,Optical,Wireless,25600,Both,Black
Corsair KATAR PRO XT,24.99,Optical,Wired,12400,Right,Black
Corsair M65 PRO RGB FPS,39.99,Optical,Wired,12000,Right,Black
Cooler Master MM711 Matte Black,22.99,Optical,Wired,16000,Right,Black
Asus P704 ROG CHAKRAM,143.08,Optical,Wireless,16000,Right,Black
ROCCAT KONE Pro Air,39.99,Optical,Wireless,19000,Right,Black
Razer Naga Epic Chroma,299.99,Laser,Wireless,8200,Right,Multicolor
