name,price,core_count,boost_clock,tdp,smt
AMD Ryzen 5 3600,129.99,6,4.2,65,TRUE
Intel Core i5-14600K,328,14,5.3,125,TRUE
Intel Core i7-3770,120,4,,77,TRUE
AMD Threadripper 3960X,1450,24,4.5,280,TRUE
Intel Core i3-10100,111.1,4,4.3,65,TRUE
Intel Core i7-10700,243.73,8,4.8,65,TRUE
Intel Core i5-8600K,213,6,4.3,95,FALSE
Intel Core i5-4690K,90,4,3.9,88,FALSE
AMD Athlon 3000G (14nm),69.44,2,,35,TRUE
Intel Core i9-13900F,499,24,5.6,65,TRUE
AMD Ryzen 5 1600 (12nm),114.99,6,3.6,65,TRUE
Intel Core i5-7400,75.98,4,3.5,65,FALSE
AMD Ryzen 5 3600,,6,4.2,65,TRUE
Intel Core i3-9100F,115,4,4.2,65,FALSE
Intel Core i7-11700,237.99,8,4.9,65,TRUE
Intel Core i7-11700KF,269.86,8,5,125,TRUE
AMD Ryzen 3 2200G,150,4,3.7,65,FALSE
Intel Celeron G6900,76,2,,46,FALSE
AMD Ryzen 5 2400G,135,4,3.9,65,TRUE
Intel Core i5-7500,125.95,4,3.8,65,FALSE
Intel Core i7-9700,290.26,8,4.7,65,FALSE
Intel Pentium G3260,,2,,53,FALSE
Intel Core i7-3770K,122,4,,77,TRUE
Intel Core i3-8100,110,4,,65,FALSE
Intel Core i5-7600K,164,4,4.2,91,FALSE
Intel Core i7-4770K,145,4,3.9,84,TRUE
Intel Core i9-9980XE,2004.51,18,4.4,165,TRUE
Intel Core i7-9700F,305.18,8,4.7,65,FALSE
AMD Ryzen 7 1700,215,8,3.7,65,TRUE
AMD FX-8350,,8,,125,FALSE
Intel Core i5-4460,82.46,4,3.4,84,FALSE
Intel Xeon E5-2699 V4,490,22,3.6,145,TRUE
Intel Xeon E5-2687W V4,2429.89,12,3.5,160,TRUE
Intel Core i5-10600KF,175.99,6,4.8,125,TRUE
Intel Core i7-4790,144.5,4,4,84,TRUE
Intel Core i9-9900KS,1989,8,5,127,TRUE
AMD Ryzen 7 1700X,251,8,3.8,95,TRUE
Intel Core i9-10900KF,317.67,10,5.3,125,TRUE
Intel Core i5-12500,233.99,6,4.6,65,TRUE
Intel Celeron G5900,45.28,2,,58,FALSE
Intel Core i5-4590,,4,3.7,84,FALSE
Intel Celeron G4900,48.59,2,,65,FALSE
AMD Ryzen 9 3900XT,450,12,4.7,105,TRUE
AMD Ryzen 5 1600X,140,6,4,95,TRUE
AMD Ryzen 7 3700X,,8,4.4,65,TRUE
Intel Core i5-3470,156.68,4,,77,FALSE
AMD Ryzen 5 3600XT,365.95,6,4.5,95,TRUE
AMD Ryzen 5 3500X,,6,4.1,65,FALSE
AMD Ryzen 3 3300X,189.99,4,4.3,65,TRUE
Intel Core i5-12600,220.82,6,4.8,65,TRUE
Intel Core i5-9400,179.91,6,4.1,65,FALSE
Intel Core i5-11600KF,205,6,4.9,125,TRUE
AMD FX-6300,,6,,95,FALSE
Intel Pentium Gold G7400,80.99,2,,46,TRUE
AMD Ryzen 3 1200 (14nm),91.08,4,3.4,65,FALSE
Intel Core i9-10980XE,1220,18,4.8,165,TRUE
Intel Core i5-6400,,4,3.3,65,FALSE
AMD Threadripper 1900X,99.99,8,4,180,TRUE
AMD Ryzen 7 3800XT,399,8,4.7,105,TRUE
Intel Core i5-2500K,322.66,4,,95,FALSE
Intel Core i7-2600,130.88,4,,95,TRUE
AMD Ryzen 5 1400,110,4,3.4,65,TRUE
Intel Core i5-8500,184.47,6,4.1,65,FALSE
Intel Core i3-10105,99.95,4,4.4,65,TRUE
Intel Core i5-3570K,97,4,,77,FALSE
Intel Core i7-9700KF,310,8,4.9,95,FALSE
Intel Celeron G4930,76,2,,54,FALSE
AMD Ryzen 9 3950X,2147.03,16,4.7,105,TRUE
Intel Core i3-7350K,60,2,,60,TRUE
Intel Core i5-4690,87.99,4,3.9,84,FALSE
Intel Core i5-4570,135.94,4,,84,FALSE
Intel Core i5-9600KF,220.12,6,4.6,95,FALSE
AMD Ryzen 5 1500X,225,4,3.7,65,TRUE
Intel Xeon E5-2660,21.99,8,3,95,TRUE
Intel Core i3-6100,100,2,,51,TRUE
Intel Core i3-4150,48,2,,54,TRUE
Intel Core i9-10900X,610,10,4.7,165,TRUE
AMD Ryzen 7 1800X,295,8,4,95,TRUE
Intel Core i7-4790K,200,4,4.4,88,TRUE
Intel Core i5-2400,,4,,95,FALSE
AMD Ryzen 5 3500,,6,4.1,65,FALSE
Intel Celeron G5925,36.97,2,,58,FALSE
Intel Core 2 Duo E8400,27.55,2,,65,FALSE
Intel Xeon E5-2650 V4,79,12,2.9,105,TRUE
Intel Core i7-6800K,140,6,3.6,140,TRUE
Intel Core i5-6600,,4,3.9,65,FALSE
AMD Threadripper 1920X,270,12,4,180,TRUE
Intel Core i7-5820K,,6,3.6,140,TRUE
AMD FX-8320,125,8,,125,FALSE
Intel Core i7-6900K,160,8,3.7,140,TRUE
Intel Core i7-8700K,375.04,6,4.7,95,TRUE
AMD Athlon II X2 240,29.48,2,,65,FALSE
Intel Core i9-12900,451,16,5.1,65,TRUE
AMD Threadripper 2950X,1074.97,16,4.4,180,TRUE
Intel Pentium Gold G6400,63.9,2,,58,TRUE
Intel Xeon E5-2640 V3,38.04,8,3.4,90,TRUE
AMD Ryzen 9 PRO 7945,,12,5.4,65,TRUE
Intel Core i9-12900F,429.99,16,5.1,65,TRUE
Intel Core i7-2600K,115,4,,95,TRUE
Intel Core i9-10900F,307.48,10,5.2,65,TRUE
Intel Core i5-10500,238.99,6,4.5,65,TRUE
AMD Threadripper 2990WX,2500,32,4.2,250,TRUE
Intel Core i5-4670K,158.9,4,,84,FALSE
AMD Threadripper 2920X,199.95,12,4.3,180,TRUE
Intel Core i3-9100,148,4,4.2,65,FALSE
Intel Core i5-7600,125,4,4.1,65,FALSE
Intel Core i9-9900K,909.99,8,5,95,TRUE
Intel Core i3-7100,85.72,2,,51,TRUE
Intel Core i5-3570,,4,,77,FALSE
Intel Xeon E5-2690 V4,186.1,14,3.5,135,TRUE
Intel Core i7-6850K,130,6,3.8,140,TRUE
AMD Ryzen 9 3900X,,12,4.6,105,TRUE
AMD Threadripper 1950X,935.56,16,4,180,TRUE
Intel Core i7-4790,,4,4,84,TRUE
Intel Celeron G440,30,1,,35,FALSE
Intel Core i5-13600,,14,5,65,TRUE
Intel Core i9-7900X,416,10,4.5,140,TRUE
AMD Athlon X4 845,50,4,3.8,65,FALSE
Intel Celeron G4900,40,2,,65,FALSE
Intel Core i7-8700,345.74,6,4.6,65,TRUE
Intel Core i5-6500,,4,3.6,65,FALSE
Intel Core i7-2700K,94,4,,95,TRUE
Intel Core i9-9900,350,8,5,65,TRUE
Intel Core i7-8086K,523.91,6,5,95,TRUE
Intel Core i9-10900,317,10,5.2,65,TRUE
Intel Core i3-4130,43,2,,54,TRUE
Intel Core i5-4440,100,4,3.3,84,FALSE
Intel Core i9-7960X,338.07,16,4.4,165,TRUE
Intel Celeron E3500,14.99,2,,65,FALSE
Intel Core i5-9500,188,6,4.4,65,FALSE
Intel Core i9-11900F,289.89,8,5.2,65,TRUE
Intel Core i7-7700T,489.95,4,3.8,35,TRUE
AMD Athlon 200GE,132.24,2,,35,TRUE
AMD Ryzen 5 2600,,6,3.9,65,TRUE
Intel Core i5-9400F,,6,4.1,65,FALSE
Intel Core i5-8400,298.95,6,4,65,FALSE
AMD Ryzen 3 1200 (12nm),91.08,4,3.4,65,FALSE
Intel Core i5-11500,218.99,6,4.6,65,TRUE
Intel Core i7-7800X,499.99,6,4,140,TRUE
Intel Xeon E5-2670 V3,,12,3.1,120,TRUE
Intel Core i3-2100,49,2,,65,TRUE
Intel Core i5-8600,185.86,6,4.3,65,FALSE
Intel Core i9-11900,324.99,8,5.2,65,TRUE
Intel Core i7-7820X,351.86,8,4.5,140,TRUE
Intel Core i9-13900T,,24,5.3,35,TRUE
Intel Core i5-13500T,,14,4.6,35,TRUE
Intel Core i3-2120,125,2,,65,TRUE
Intel Core i7-7700,344,4,4.2,65,TRUE
Intel Xeon E5-2698 V3,,16,3.6,135,TRUE
Intel Core i7-6950X,600,10,3.5,140,TRUE
Intel Core i9-9900K (Standard Folding Box),480,8,5,95,TRUE
Intel Core i7-14700KF,393,20,5.6,125,TRUE
Intel Core i7-7700K,,4,4.5,91,TRUE
Intel Core i7-4930K,148,6,3.9,130,TRUE
AMD Ryzen 3 1300X,,4,3.7,65,FALSE
Intel Pentium Gold G5400,73,2,,58,TRUE
AMD FX-8370,234.98,8,4.3,125,FALSE
AMD Ryzen 5 3600X,,6,4.4,95,TRUE
AMD Ryzen 7 3800X,,8,4.5,105,TRUE
AMD Ryzen 5 2400G,195.45,4,3.9,65,TRUE
