name,Price,rpm,noise_level,color,size
Cooler Master MasterLiquid ML360L ARGB V2,119.99,"[650,1800]","[8,27]",Black,360
Thermalright Frozen Notte ARGB,69.9,,,Black,360
Corsair iCUE H170i ELITE LCD XT,309.99,"[500,1700]","[5,33.8]",Black,420
NZXT Kraken 280,144.99,"[500,1500]","[19.4,32.1]",Black,280
Noctua NH-D15S chromax.black,109.95,"[300,1500]","[19.2,24.6]",Black,
ID-COOLING SE-214-XT,17.98,"[500,1500]","[13.8,30.5]",White,
Noctua NH-D9L,54.95,"[400,2000]","[16.3,22.8]",,
Deepcool ASSASSIN IV,99.99,"[500,1700]","[22.6,29.3]",Black,
Deepcool LS520 SE WH,90.98,"[500,2250]","[28.2,32.9]",White,240
Asus ROG RYUJIN II,449.99,"[450,2000]",,Black,360
EK Nucleus AIO CR240 Dark,119.99,"[550,2300]",,Black,240
Deepcool AG400,21.99,"[500,2000]",,Black / Silver,
Lian Li Galahad II Trinity Performance,159.99,"[2300,3000]","[32.1,39.9]",Black,360
NZXT T120 RGB,49.99,"[500,1800]","[17.2,27.5]",White,
Thermaltake UX100,16.98,,,Black,
Noctua NH-L9x65,59.95,"[600,2500]","[14.8,23.6]",,
NZXT Kraken Elite 240 RGB,251.83,"[500,1800]","[17.9,30.6]",White,240
Noctua NH-L9a-AM4,44.95,"[600,2500]","[14.8,23.6]",Brown,
MSI MAG CORELIQUID P240,79.98,"[500,2000]","[14.3,34.3]",Black,240
NZXT Kraken 360 RGB,215.99,"[500,1800]","[17.9,30.6]",Black,360
Noctua NH-U12A,119.95,"[450,2000]","[18.8,22.6]",Brown,
Cooler Master MasterLiquid ML240L V2 RGB,75.56,"[650,1800]","[8,27]",White / Black,240
ID-COOLING IS-55 Black,39.99,"[500,2000]",,Black,
Noctua NH-U12S redux,54.95,"[450,1700]",,Gray / Silver,
Deepcool LS720 WH,137.59,"[500,2250]",,White,360
NZXT Kraken 120,86.98,"[500,2000]","[21,36]",Black,120
Cooler Master MasterLiquid ML240L ARGB V2,81.98,"[650,1800]","[8,27]",Black,240
Thermalright Peerless Assassin 120 Black,52.9,,,Black,
Asus ROG STRIX LC II ARGB,144.99,"[800,2500]",,Black,360
Deepcool AK400 ZERO DARK PLUS,44.99,"[500,1650]",,Black,
NZXT T120 RGB,49.99,"[500,1800]","[17.2,27.5]",Black,
Deepcool LS720 SE WH,105.99,"[500,2250]","[28.2,32.9]",White,360
ARCTIC Liquid Freezer II 240 A-RGB,106.98,"[200,1800]",,Black / Gray,240
ARCTIC Freezer 7 X,24.98,"[300,2000]",,Black / White,
Thermalright Peerless Assassin,37.9,,,Gray,
be quiet! Pure Rock 2,39.9,,"[19.1,26.8]",Silver / Black,
EK Nucleus AIO CR360 Dark,149.99,"[550,2300]",,Black,360
be quiet! Pure Rock 2 FX,49.9,,"[7.9,24.4]",Black,
Deepcool AK400 DIGITAL,49.99,"[500,1850]",,Black,
NZXT Kraken X63,,"[500,2000]","[21,38]",Black,280
Noctua NH-D12L,89.95,"[450,2000]","[18.8,22.6]",Beige / Brown,
Thermalright Frozen Notte ARGB,78.9,,,White,360
Thermalright Peerless Assassin 120 White,44.9,,,White,
Noctua NH-L9A-AM5 CHROMAX.BLACK,54.95,"[600,2500]","[14.8,23.6]",Black,
Thermalright Phantom Spirit,40.9,,,Black / Silver,
NZXT Kraken X53,,"[500,2000]","[21,36]",Black,240
ARCTIC Liquid Freezer II 420 A-RGB,130.99,"[200,1900]",,Black,420
Deepcool THETA 20 PWM,4.99,"[900,2400]","[17.8,32.5]",Black / Silver,
Vetroo V5,34.5,"[800,1700]",,White,
NZXT Kraken Elite 280 RGB,262.64,"[500,1500]",,White,280
Cooler Master Hyper 212 Halo,41.99,"[650,2050]",,Black,
be quiet! Pure Loop 240,94.9,,"[19,39.5]",Black,240
Thermalright Assassin X 90 SE,16.89,,,Black / Silver,
Thermalright AXP90-X36,23.9,,,Gray,
Corsair iCUE H150i ELITE CAPELLIX,359.89,,"[10,37]",White,360
ID-COOLING FROSTFLOW X,59.99,"[800,1600]","[16.8,32.6]",Black / Silver,280
Deepcool LT520 WH,98.99,"[500,2250]",,White,240
Corsair iCUE H150i ELITE LCD,436.98,"[450,2000]","[10,30.4]",Black,360
Noctua NH-L9i-17xx,44.95,"[600,2500]","[14.8,23.6]",Brown / Beige,
Thermalright Frozen Prism,46.9,,,Black,240
Cooler Master MasterLiquid 360L Core,119.99,"[350,1750]",,Black,360
ARCTIC Liquid Freezer II 280 A-RGB,115.18,"[200,1900]",,Black,280
Thermalright Assassin X Refined SE ARGB V2,20.59,,,Black / Silver,
Lian Li GALAHAD AIO 360 RGB,227,"[800,1900]",,White / Silver,360
Thermalright Frozen Prism ARGB,49.9,,,Black,240
Corsair iCUE H100i ELITE CAPELLIX,220.99,,"[10,37]",Black,240
Scythe Mugen 5 Rev. B,,"[300,1200]","[4,24.9]",Silver / Black,
Corsair iCUE H100i ELITE LCD XT,219.99,"[550,2100]","[5,34.1]",Black,240
Thermaltake UX200 SE ARGB,23.99,"[800,1800]",,Black,
Noctua NH-U12S,72.95,"[300,1500]","[18.6,22.4]",,
Corsair H100i v2,315.54,,,,240
be quiet! Pure Loop 360,119.99,,"[19.8,40.5]",Black,360
Corsair iCUE H115i ELITE CAPELLIX XT,169.99,"[500,1700]","[5,33.8]",Black,280
Cooler Master Hyper 212 Black Edition,,"[650,2000]","[6.5,26]",Black,
MSI MAG CORELIQUID P360,99.99,"[500,2000]","[14.3,34.3]",Black,360
Cooler Master Hyper 212 Spectrum V3,29.99,"[650,1750]",,Black / Silver,
Cooler Master MasterLiquid ML240L ARGB V2,99.99,"[650,1800]","[8,27]",White,240
ARCTIC Alpine 23,9.99,"[100,2000]",,White / Black,
Thermalright Assassin X Refined SE ARGB,19.89,,,White / Silver,
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,180.52,"[800,1900]",,White / Silver,240
Thermalright Frozen Prism ARGB,52.9,,,White,240
NZXT Kraken Elite 240,234.99,"[500,1800]","[17.9,30.6]",Black,240
Deepcool AG400,29.99,"[500,2000]",,White,
NZXT Kraken X53 RGB,164.99,"[500,1500]","[22,33]",Black,240
ID-COOLING SE-224-XTS BLACK,29.99,"[600,1500]",,Black,
