name,Price,rpm,noise_level,color,size
ENDORFY Fera 5 Dual Fan,,"[250,1800]",,Black / Silver,
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,,"[800,1900]",,White / Silver,360
Noctua NH-U9DXi4,64.95,"[300,1600]","[13.1,17.6]",,
NZXT Kraken X63 RGB,184.99,"[500,1500]","[22,33]",Black,280
Deepcool LE720,,"[500,2250]",,White,360
Enermax LIQMAX III 240 ARGB,69.99,"[500,1600]","[14,27]",White / Black,240
Deepcool LE520,,"[500,2250]",,White,240
Gigabyte AORUS LIQUID COOLER,,,"[18,39.5]",Black,360
Asus ROG STRIX LC II ARGB,147.75,"[800,2500]",,White / Black,240
Asus ROG RYUJIN II,244.99,"[450,2000]",,Black,240
Deepcool AG620 WH ARGB,59.99,"[300,1850]",,White,
Thermalright Frozen Edge,58.9,,,Black,240
be quiet! Pure Loop 2 FX,139.9,,"[10.8,32.8]",Black,280
Corsair H100i,,,,,240
Thermaltake TH420 ARGB Sync,99.99,"[500,1800]",,Black,420
Deepcool AS500 PLUS WH,58,"[500,1200]",,White / Silver,
be quiet! Silent Loop 2 240,171.79,,"[16.8,38.3]",Black,240
Scythe Ninja 5,,"[300,800]","[4,14.5]",Black,
Gelid Solutions Liquid 120,59.99,"[750,1800]",,Black,120
ENDORFY Navis F360,,"[250,1800]",,Black,360
Corsair H150,,,"[18,26.5]",Black,360
Thermalright Frost Commander 140,44.9,,,Gray,
ID-COOLING SE-225-XT,39.99,"[700,1800]","[15.2,35.2]",Black,
Deepcool GAMMAXX GTE V2,,"[500,1650]",,Black / White,
Cooler Master MasterLiquid ML240 Illusion,137.7,"[650,1800]","[6,30]",White,240
Corsair iCUE LINK H115i RGB,219.99,"[400,2000]",,Black,280
ARCTIC Alpine AM4,10.02,"[100,2000]",,Black / White,
ARCTIC Freezer A35,29.99,"[200,1800]",,Black / White,
ID-COOLING DK-07i RAINBOW,16.98,"[500,1800]","[14.2,25.6]",Black,
Intel BXTS15A,44.94,"[1000,3850]",,,
Deepcool CASTLE 360EX A-RGB,,"[500,1800]",,Black,360
NZXT Kraken X52,,"[500,2000]","[21,36]",,240
Noctua NH-L9x65 SE-AM4,59.95,"[600,2500]","[14.8,23.6]",,
Vetroo V5,34.5,"[800,1700]",,Pink,
be quiet! Dark Rock Pro TR4,89.9,"[1200,1500]","[12.8,24.3]",Black,
Deepcool R-AN600-BKNNMN-G,54.99,"[500,1850]","[20,24.4]",Black / Silver,
Cooler Master MasterAir MA612 Stealth ARGB,69.99,"[650,1800]","[8,27]",,
Deepcool LS320,86.99,"[500,2250]",,Black,120
ID-COOLING SE-914-XT,25.49,"[600,2200]",,Black / Gray,
be quiet! Pure Loop 120,89.9,,"[18.9,36.1]",Black,120
Lian Li GALAHAD AIO 240 RGB,195,"[800,1900]",,White / Silver,240
EK EK-Nucleus AIO CR240 Lux D-RGB,159.99,"[550,2300]",,Black,240
Lian Li Galahad AIO240 (2022),191.02,"[800,1900]",,Black / Silver,240
Thermaltake TH420 ARGB Sync,133.99,"[500,1800]",,White,420
CRYORIG H7,,"[330,1600]",,,
Thermaltake TOUGHLIQUID Ultra,251.99,"[500,2000]",,Black,420
Deepcool GAMMAXX 400 V2,,"[500,1650]",,Black / Blue,
Asus ROG Ryujin III ARGB,239.99,"[600,2200]",,Black,240
Corsair H150i PRO,,,,,360
Scythe Fuma 2 Rev.B,,"[300,1500]","[2.58,23.8]",Black / Silver,
be quiet! Shadow Rock 3,59.9,,"[11.5,24.4]",White / Black,
ID-COOLING IS-55 ARGB,39.99,"[500,2000]",,White,
Vetroo V360,109.99,"[800,1800]",,Black,360
ID-COOLING SE-226-XT,42.74,"[500,1500]","[13.8,30.5]",Black,
Thermaltake TOUGHAIR 510,57.99,"[500,2000]",,Black / Gray,
Deepcool GAMMAXX L240 A-RGB,319.81,"[500,1800]",,Black,240
Corsair A500,104.99,,,Black / Silver,
MSI MPG CORELIQUID K360,225.99,,,Black,360
Asus ROG RYUO III 240 ARGB,159.99,,,Black,240
ENDORFY Navis F240,113.25,"[250,1800]",,Black,240
Thermaltake Gravity A2,20.36,"[1200,3500]",,Silver / Black,
Cooler Master Hyper 622 Halo,67.98,"[650,2050]",,White,
Deepcool AG500 WH ARGB,46.98,"[300,1850]",,White,
Cooler Master MasterLiquid PL360 FLUX,170.83,,,Black,360
Razer Hanbo Chroma,180.12,,,Black,240
Corsair H110i,299.93,,,,280
Enermax ETS-N31-02,24.99,"[800,2000]",,Black / Silver,
ARCTIC Liquid Freezer II 240 RGB,110,"[200,1800]",,Black / Gray,240
Scythe Kotetsu Mark 3,29.99,"[300,1500]","[4,28.6]",Black / Silver,
Noctua NH-U12S SE-AM4,69.95,"[300,1500]","[18.6,22.4]",,
Fractal Design Celsius S36,211.66,"[500,2000]",,,360
be quiet! Silent Loop 2 280,204.99,,"[16.5,36.1]",Black,280
Cooler Master MasterLiquid PL240 FLUX,139.99,,,Black,240
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,,"[800,1900]",,Black / Silver,240
Thermaltake TH120 ARGB Sync,108.84,,,Black,120
Deepcool ASSASSIN III,79.98,"[400,1400]",,Black / Silver,
Corsair H100,,,"[18,26.5]",Black,240
Fractal Design Lumen S24 V2,,"[500,2000]","[10,33.2]",Black,240
Gigabyte AORUS WATERFORCE 280,179.99,"[950,2150]","[17.1,36.5]",Black,280
Asus ROG STRIX LC II 280 ARGB,109.99,"[700,2100]",,Black,280
MSI MEG CORELIQUID S280,276.37,,,Black,280
Thermalright SI-100 WHITE ARGB,28.59,,,White,
Phanteks Glacier One 360 T30 Gen2,381.44,"[1200,3000]","[11.1,39.7]",Black / Gray,360
Deepcool GAMMAXX 200T,,"[900,1600]","[17.8,26.1]",,
Scythe Big Shuriken 3 Rev.B,,"[300,1800]","[2.58,27.8]",Black / Silver,
Asus ROG STRIX LC 360 RGB White Edition,329.49,"[800,2500]",,White,360
Gelid Solutions Glacier,32.19,"[500,1600]",,Black,
Deepcool AG400 LED,,"[500,2000]",,Black / Silver,
Antec A30,21.06,,,,
EVGA CLCx 360,213.65,,,Black,360
ID-COOLING SE-207-XT SLIM SNOW,39.99,"[700,1800]","[15.2,35.2]",White,
Deepcool LE500 Marrs,,"[500,2250]",,Black,240
Cooler Master MasterLiquid 240,,"[650,2000]","[6,30]",,240
Fractal Design Celsius S24,169,"[500,2000]",,,240
Thermaltake TH240 ARGB Sync,,,,Black,240
ID-COOLING ZOOMFLOW 360 XT,99.99,"[500,1500]","[13.8,30.5]",Black,360
Gigabyte AORUS WATERFORCE 240,208.72,"[950,2150]","[16.9,31]",Black,240
Asus ROG RYUJIN II 360 ARGB EVA Edition,,,,Silver / Black,360
Cooler Master MASTERLIQUID PL360 FLUX,119.99,,,White,360
Enermax AQUAFUSION ADV 360,119.99,"[500,2000]","[15,32.6]",Black,360
Fractal Design Lumen S36 V2,188.48,"[500,2000]","[10,33.2]",Black,360
Cooler Master i50,16.98,,,Black / Silver,
NZXT Kraken X72,,"[500,2000]","[21,36]",Black,360
Phanteks Glacier One 280MP,167.75,"[500,2000]","[18,39.1]",Black / White,280
Asus ROG Ryujin III,229.99,"[450,2000]",,Black,240
Thermalright Frozen Edge,53.99,,,White,240
Noctua NH-U9 TR4-SP3,89.95,"[400,2000]","[16.3,22.8]",,
Enermax ETS-T50 AXE ARGB,39.99,"[500,1600]","[14,24]",White,
Asus ROG Ryujin III,249.99,"[600,2200]",,White,240
Lian Li Galahad AIO360 (2022),259.95,"[800,1900]",,Black / Silver,360
MSI MAG CORELIQUID R,183.99,"[500,2000]","[14.3,34.3]",Black,240
Deepcool GAMMAXX L240 V2,,"[500,1800]",,Black / White,240
Corsair H115i PRO,300,,,,280
Deepcool AK620 DIGITAL WH,84.99,"[500,1850]",,White,
Deepcool AG400 ARGB,,"[500,2000]",,Black / Silver,
ID-COOLING DK-03,,,,,
Thermalright AXP90-X47,23.9,,,Black,
Noctua NH-D15 SE-AM4,107.95,"[1200,1500]","[19.2,24.6]",,
ARCTIC Freezer i13 X,29.99,"[300,2000]",,Black / White,
Thermalright Silver Soul 135,30.9,,,Silver,
Antec A40PRO,27.99,"[800,2200]","[16,23]",,
ARCTIC Freezer i35,33.99,"[200,1800]",,Black / White,
EK EK-Nucleus AIO CR240 Lux D-RGB,159.99,"[550,2300]",,White,240
Deepcool CASTLE 360EX,,"[500,1800]",,Black,360
Enermax Liqmax III 120 RGB,59.99,"[500,2000]","[14,32]",Black,120
Silverstone Hydrogon H90 ARGB,52.83,"[500,2600]","[11.3,34.6]",Black / Silver,
ID-COOLING SE-914-XT ARGB,34.99,"[600,2200]","[14,25.8]",Black / Gray,
ID-COOLING PINKFLOW 240 Diamond,109.99,"[900,2000]","[16.3,33.5]",Pink,240
ARCTIC Freezer A35 CO,33.99,"[200,1800]",,Black / Silver,
Thermaltake Contac Silent 12,23.99,"[400,1500]","[22.1,28.8]",,
Deepcool UL551 RGB,,"[500,1800]",,Black,
Thermalright Assassin X V2,,,,Black / Silver,
Enermax AQUAFUSION ADV 240,87.99,"[500,2000]","[15,32.6]",Black,240
Jonsbo CR-1400 EVO ARGB Black,32.99,"[800,2200]","[22.3,33.8]",Black,
ARCTIC Liquid Freezer II 120,,"[200,1800]",,Black,120
Gigabyte AORUS ATC800,126.22,"[600,2000]","[18,31]",Black,
MSI MAG CORELIQUID E360,124.99,,,Black,360
Cooler Master MasterLiquid ML240L RGB,118.99,"[650,2000]","[6,30]",,240
Deepcool AG400 PLUS,,"[500,2000]",,Black / Silver,
Deepcool CASTLE 240EX A-RGB,,"[500,1800]",,Black,240
Thermaltake TOUGHLIQUID Ultra RGB,279.99,"[500,2000]",,Black,420
EVGA CLC 120 CL11,,,,,120
Cooler Master Hyper 212 LED Turbo White Edition,,"[600,1600]","[9,31]",White,
Corsair H80i v2,,,,,120
TEAMGROUP SIREN GD360E,124.99,"[600,2200]","[14.3,35.6]",White,360
Cooler Master MA621P TR4,697.5,"[600,1800]",,Black / Silver,
Gigabyte AORUS WATERFORCE X,179.99,,"[8.06,44.4]",Black,280
Noctua NH-U9B SE2,,"[1000,1600]","[7.9,17.6]",,
MSI MAG CORELIQUID C280,153.96,"[500,1800]","[14.8,33.28]",Black,280
Cooler Master Hyper TX3 Evo,50.66,"[800,2200]",,,
ID-COOLING SE-224-XT Basic,,"[700,1800]","[15.2,32.5]",Black / Gray,
NZXT Kraken X62 Rev 2,,"[500,1800]","[21,38]",,280
Thermaltake TOUGHLIQUID ARGB,132.99,"[500,2000]",,Black,360
Deepcool GAMMAXX 400 XT,,"[500,1500]",,Black,
Zalman CNPS10X Performa,39.99,"[700,1500]",,Black,
Cooler Master i71C RGB,,"[650,1800]",,Black,
MSI MAG CORELIQUID B,,"[500,2000]","[14.3,34.3]",Black,240
Phanteks Glacier One 240 T30 Gen2,199.98,"[1200,3000]","[11.1,39.7]",Black / Gray,240
Thermalright Frozen Edge,71.98,,,White,360
Thermaltake Water 3.0 360 ARGB Sync Edition,204.15,"[500,1500]",,Black,360
Deepcool GAMMAXX 300,,"[900,1600]","[17.8,21]",,
Cooler Master Wraith Ripper,269,,"[0,38]",Black,
Corsair iCUE H60i RGB PRO XT,,,"[10,37]",Black,120
Deepcool AK500S DIGITAL,62.98,"[500,1850]",,Black,
ARCTIC Alpine 12,,"[100,2000]",,Black / White,
ID-COOLING PINKFLOW 360,,"[900,2000]","[16.3,33.5]",Pink,360
Corsair H55,,,,,120
Deepcool GAMMAXX GTE V2,,"[500,1650]",,White,
be quiet! Pure Rock,,,"[19.1,26.8]",,
Thermalright AXP90-X53,,,,Black,
Vetroo U6 Pro,49.99,"[700,1500]","[18.1,30.5]",Black,
Cooler Master MasterAir MA410P,53.47,"[650,2000]","[6,30]",,
Thermaltake Floe Riing RGB 280 TT Premium Edition,69.98,"[500,1400]","[19.8,27.2]",,280
Asus ROG RYUJIN 360,,"[450,2000]",,Black,360
EK AIO 360 D-RGB,,"[450,2600]",,Black,360
ID-COOLING IS-67-XT,39.99,"[500,2200]",,Black,
Noctua NH-U12DXi4,74.95,"[300,1500]","[18.6,22.4]",,
Fractal Design Lumen S28 V2,186.18,"[500,1700]","[10,35.5]",Black,280
Thermalright AXP-100 Full Copper,212,"[900,2500]",,Orange,
Phanteks Glacier One 240MPH,,"[500,2200]","[18,34.2]",White / Black,240
Thermalright Aqua Elite ARGB,,,,White,240
Lian Li Galahad AIO360 (2022),,"[800,1900]",,White / Silver,360
Enermax ETS-F40-FS,48.99,"[300,1200]","[10,23]",Black,
ID-COOLING SE-207-XT SLIM,,"[700,1800]","[15.2,35.2]",,
MSI MPG CORELIQUID K240,174.99,,"[0,39.9]",Black,240
MSI MAG CORELIQUID M240,,"[500,2000]","[14.3,34.3]",Black,240
ID-COOLING FROSTFLOW X 240 LITE SNOW,,"[700,1800]","[15.2,35.2]",White,240
Corsair H115i,260,,,,280
Cooler Master MasterAir MA612 Stealth,99.8,"[650,1800]","[8,27]",,
Thermaltake TOUGHAIR 310,29.99,"[500,2000]",,Black / Gray,
Aerocool Cylon 4,51.4,"[800,1800]","[14,26]",Black,
Deepcool GAMERSTORM CAPTAIN 240X,,"[500,1800]",,Black,240
ID-COOLING FROSTFLOW X,,"[700,1800]","[18,35.2]",,240
MSI MAG CORELIQUID M360,152.99,"[500,2000]","[14.3,34.3]",Black,360
Zalman CNPS2X,,"[1500,2600]","[17.39,22.7]",,
Deepcool Castle 240 RGB V2,,"[500,1800]",,Black,240
ARCTIC Freezer 34 eSports,54.6,"[200,2100]",,White / Black,
Deepcool GAMMAXX L360 A-RGB,,"[500,1800]",,Black,360
Thermaltake Water 3.0 240 ARGB Sync,,"[500,1500]",,Black,240
Azza Blizzard SP 240,330,"[700,2200]",,Black,240
Thermaltake TH360 V2 Ultra ARGB Sync,169.99,"[500,1800]",,Black,360
Gelid Solutions Tranquillo Rev. 5,24.99,"[900,2000]",,Black,
GAMDIAS BOREAS E1,34.98,"[800,2000]","[10,31]",Black / Silver,
Cooler Master MasterAir MA620M,111.99,"[650,2000]","[8,30]",Black,
Deepcool AK400 DIGITAL WH,54.99,"[500,1850]",,White,
ARCTIC Freezer 50,,"[200,1800]",,Black,
Jonsbo CR-1000 EVO ARGB Black,31.99,"[600,1500]","[22,32]",Black,
Deepcool Gammaxx L360 V2,,"[500,1800]",,Black / White,360
ID-COOLING FROSTFLOW X,,"[700,1800]","[18,35.2]",,360
SilentiumPC Fortis 5,,"[300,1400]",,Black / Silver,
Antec VORTEX 360,,"[600,2000]",,Black,360
Thermaltake TOUGHLIQUID ARGB,119.99,"[500,2000]",,Black,240
MSI MAG CORELIQUID E360 WHITE,,,,White,360
EK AIO 120 D-RGB,,"[450,2600]",,Black,120
ID-COOLING PINKFLOW 240 V2,,"[900,2000]","[16.3,33.5]",Pink,240
CRYORIG C7,,"[600,2500]",,,
Thermaltake TOUGHAIR 110,32.99,"[500,2000]",,Black / Silver,
Thermaltake TOUGHLIQUID Ultra RGB,229.99,"[500,2000]",,Black,280
Phanteks Glacier One 240 T30,194.17,"[1200,3000]","[11.1,39.7]",Gray,240
Xilence M705D,,"[700,1600]","[18,32.5]",Black,
ID-COOLING DK,16.98,"[500,1800]","[14.2,25.6]",Black / Silver,
Deepcool ASSASSIN IV,99.99,"[500,1700]","[22.6,29.3]",White,
Thermalright Aqua Elite ARGB,,,,White,360
ID-COOLING FROSTFLOW X,,"[700,1800]","[18,35.2]",,120
Alpenföhn BEN NEVIS,,"[400,1600]","[8,20.2]",,
Silverstone VIDA 240 SLIM,126.95,"[300,1800]","[15.9,33.9]",Black,240
Asus ROG STRIX LC 240 RGB White Edition,174.88,"[800,2500]",,White,240
CRYORIG H7 Quad Lumi,109.16,"[330,1600]","[10,25]",,
Corsair H100,387.82,"[1300,2500]","[22,39]",,240
Scythe Big Shuriken 3,,"[300,1800]","[2.7,30.4]",Black / Silver,
ID-COOLING SE-226-XT,49.99,"[500,1500]","[13.8,30.5]",Black,
be quiet! Shadow Rock Slim 2,56.27,,"[11.5,23.7]",Black,
Cooler Master MasterAIR G200P,,"[800,2000]","[6,28]",Black / Silver,
be quiet! Dark Rock Pro 3,,"[1400,1700]","[13.2,26.1]",,
Noctua NH-L12,,"[1200,1600]","[13.1,22.4]",,
Cooler Master Hyper 212X,,"[600,2000]","[9,36]",,
ID-COOLING IS-40X,,"[600,2500]","[14,33]",Black / White,
Alphacool Eisbaer Aurora 420,189.95,"[600,1500]",,Black,420
Thermalright Frost Spirit 140,,,,Gray,
Jonsbo CR-1000,,"[700,1800]","[20.55,37.2]",White,
Alphacool Eisbaer Aurora 360,154.95,"[800,2000]",,Black,360
Alphacool Eisbaer Pro Aurora,205.95,,,Black,360
Antec Symphony ARGB,173.99,"[800,1600]","[20,35]",Black,360
Thermalright Assassin King 120,,,,White / Silver,
Asus ROG RYUO III 360 ARGB WHITE EDITION,,,,White,360
Mars Gaming ML-ONE,,"[600,1800]","[9,26]",Black,120
Cooler Master Hyper 212 LED Turbo (Red),71.98,"[300,1600]","[9,31]",,
Fractal Design Celsius+ S24 Prisma PWM ARGB,207.29,"[500,2000]",,Black,240
Deepcool AS500,44.99,"[500,1200]",,Black / Silver,
ARCTIC Freezer i35 CO,38.94,"[200,1800]",,Black / Silver,
ID-COOLING AURAFLOW X 240 EVO SNOW,,"[700,1800]","[18,35.2]",White,240
ID-COOLING SE-224-XT,,"[700,1800]","[15.2,32.5]",White,
Thermaltake TOUGHLIQUID Ultra,189.99,"[500,2500]",,Black,240
Gelid Solutions Liquid 240,84.98,"[750,1800]",,Black,240
Alphacool Eisbaer LT240,113.5,"[550,1700]",,Black,240
MSI MAG CORELIQUID R,224.72,"[500,1800]","[14.8,33.28]",Black,280
Montech METAL DT24 BASE,57,"[800,1950]",,Black / Silver,
Thermaltake Water 3.0 120 ARGB Sync,124.38,"[500,1500]",,Black,120
Corsair H105,164.5,"[800,2700]",,,240
Cooler Master MasterLiquid ML120R RGB,,"[650,2000]","[6,30]",,120
Deepcool LS320 WH,71.99,"[500,2250]",,White,120
RAIJINTEK Orcus 360,,"[800,1800]",,Black,360
Intel BXXTS100H,,"[800,1800]","[20,35]",,
EK AIO Elite 280 D-RGB,107.99,"[550,2200]",,Black,280
GAMDIAS BOREAS E1,,"[800,2000]","[10,31]",Black / Silver,
TEAMGROUP SIREN GD360E,124.99,"[600,2200]","[14.3,35.6]",Black,360
Cooler Master i70C,24.99,"[650,1800]",,Black / Silver,
Thermaltake TH240 V2 Ultra ARGB Sync,149.99,"[500,1800]",,Black,240
Deepcool LE300 Marrs,77.88,"[500,2250]",,Black,120
Cooler Master Hyper 212 LED,74.98,"[600,1600]","[9,31]",,
Thermalright SI-100,,,,Gray,
Thermalright Frost Commander 140 BLACK,,,,Black,
Enermax AQUAFUSION ADV 120,69.98,"[500,2000]","[15,32.6]",Black,120
ID-COOLING IS-50X V2,,"[500,2000]","[13.8,31.2]",Black / Gray,
GAMDIAS CHIONE M2,155,,,Black,240
Titan DC-155A915Z/RPW,,"[1000,2600]","[24.8,33.4]",,
Phanteks Glacier One 240MP,,"[500,2200]","[18,34.2]",Black / White,240
Cooler Master MasterAir MA624 Stealth,84.99,"[650,1400]","[10,27]",Black,
Silverstone Hydrogon D120 ARGB V2,77.8,,"[0,30.5]",Black / Silver,
Deepcool Castle 360 RGB V2,,"[500,1800]",,Black,360
EVGA CLCx 240,167.49,,,Black,240
Thermalright Frost Commander 140,,,,White,
Asus ROG Ryujin 240 RGB AIO,196.36,"[450,2000]",,Black,240
Fractal Design Celsius+ S36 Prisma PWM ARGB,326.11,"[500,2000]",,Black,360
Noua Jotun,,,,Black / Silver,
be quiet! Silent Loop 2 120,156.99,,"[16.6,36.4]",Black,120
Scythe Shuriken 2,,"[300,2500]","[1.8,23.2]",Black / Silver,
Corsair H110i GT,427.6,,,,280
Asus ROG RYUJIN II ARGB,229.23,,,Black,240
TEAMGROUP SIREN GD240E,105.99,"[600,2200]","[14.3,35.6]",White,240
Corsair H80i GT,415.52,,,,120
Deepcool LE300,,"[500,2250]",,Black,120
Deepcool CASTLE 240EX WHITE,,"[500,1800]",,White / Black,240
Dynatron R24,39.75,"[1500,7000]","[16,47.5]",,
NZXT Kraken X42,,"[500,1800]","[21,38]",,140
Fractal Design Celsius+ S24 Dynamic X2 PWM,,"[500,2000]",,Black,240
EVGA CLC 360,,"[500,2400]","[16,39.9]",Black,360
Alpenföhn Dolomit,,"[500,2200]",,Black,
MSI MPG CORELIQUID K240 V2,172.9,,,Black,240
CRYORIG M9 Plus,70.09,"[600,2200]",,Black / Silver,
Enermax ETS-F40-FS,43.99,"[300,1200]","[10,23]",White,
Antec VORTEX 240,,"[600,2000]",,Black,240
NZXT Kraken X61,,"[800,2000]","[20,37]",,280
Cooler Master MasterLiquid 120,,"[650,2000]","[6,30]",,120
ARCTIC Freezer A13 X,27.99,"[300,2000]",,Black / White,
Phanteks GLACIER ONE 240D30,238.5,"[250,2000]",,Black,240
Thermaltake UX 210 ARGB,43.07,"[600,2000]",,Black / Silver,
Antec Symphony ARGB,154.99,"[800,1600]","[20,35]",Black,240
Thermalright Burst Assassin,,,,Gray / Black,
Thermaltake TH420 V2 Ultra ARGB Sync,189.99,"[500,2000]",,Black,420
Deepcool AG500 ARGB,51,"[300,1850]",,Black / Silver,
EVGA CLC 240,109.99,"[500,2400]","[16,39.9]",,240
ARCTIC Alpine 12 CO,17.18,"[100,2700]",,Black / Gray,
ENDORFY Navis F280,,"[250,1800]",,Black,280
Cooler Master MasterAir MA410M,78.72,"[650,1800]","[6,31]",Black,
Thermalright Aqua Elite V3,44.99,,,White,240
MSI MAG CORELIQUID E240,99.99,,,Black,240
SilentiumPC Fortis 5 Dual Fan,,"[300,1400]",,Black / Silver,
Corsair H75,,,,,120
Deepcool Ice Edge Mini FS V2.0,,,,,
Cooler Master MasterLiquid ML360 Mirror,239,"[650,1800]","[8,27]",Black,360
Scythe Mugen 5 Rev.C,,"[300,1500]","[4,28.6]",Black / Silver,
Cooler Master MasterLiquid PL360 FLUX 30TH Anniversary Editi,199.99,,,Black,360
Cooler Master Hyper 103,,"[800,2200]","[17,30]",,
RAIJINTEK JUNO PRO RBW,,"[400,1800]",,Black,
Thermaltake Floe DX RGB 240 TT Premium Edition,193.38,"[500,1500]","[19,23.9]",Black / Gray,240
Gelid Solutions Liquid 360,99,"[750,1800]",,Black,360
Montech AIR COOLER 210,92.42,"[600,1500]",,Black,
Deepcool GAMMAXX L240 A-RGB,,"[500,1800]",,White,240
SilentiumPC Spartan 3 LT HE1012,,"[800,2000]",,Black / Silver,
Deepcool CASTLE 360EX A-RGB,,"[500,1800]",,White / Black,360
ARCTIC Freezer 7 Pro Rev.2,,"[900,2500]",,,
Fractal Design Celsius+ S28 Prisma PWM ARGB,,"[500,1700]",,Black,280
Thermaltake CLP0556,18.68,"[1900,2300]",,,
Alpenföhn Brocken 4,,"[400,1600]",,Black,
ARCTIC Freezer 34 eSports,44.99,"[200,2100]",,Yellow / Black,
Silverstone Krypton KR02,31.3,"[800,2800]","[13.6,34.8]",Black / Silver,
Alphacool Eisbaer LT360,124.75,"[550,1700]",,Black,360
Enermax ETS-T50 AXE ARGB,69.93,"[500,1600]","[14,24]",Black,
Asus ROG RYUO 240 RGB,196,"[800,2500]",,Black,240
Cooler Master MasterLiquid LC240E RGB,,"[650,1800]",,Black,240
MSI MPG CORELIQUID K360 V2,,,,Black,360
Corsair H55,,,"[18,26.5]",Black,120
darkFlash Darkair,,"[800,1600]",,Black,
upHere C92,,"[800,1800]","[15.1,31.6]",Black / Red,
Jonsbo HX6200D,54,"[700,1800]","[18.6,29.7]",White,
Enermax AQUAFUSION ADV,74.99,"[500,2000]","[17,32.6]",White,120
Cooler Master i70,19.98,,,Black / Silver,
Cooler Master I70,,,,Black / Silver,
Deepcool GAMMAXX 400 Blue,,"[900,1500]","[17.8,30]",Blue / Silver,
SilentiumPC Fera 5,,"[300,1800]",,Black / Silver,
Thermaltake TOUGHLIQUID Ultra,199.99,"[500,2000]",,Black,280
Corsair H100i GTX,296.92,,,,240
Thermaltake UX200 ARGB,39.99,"[300,1500]",,Black,
Noctua NH-U12S TR4-SP3,88.32,"[300,1500]","[18.6,22.4]",,
Corsair H80i,,,,,120
Enermax LIQTECH TR4 II 360,179.99,"[500,2300]","[14,28]",Black,360
Corsair H60,,,,,120
be quiet! Dark Rock 3,,"[400,1400]","[8.4,21.1]",,
Jonsbo CR-1000 EVO Color White,31.99,"[600,1500]","[22,32]",White,
Mars Gaming ML-ONE,,"[600,1800]","[9,26]",White,120
Cooler Master Hyper TX3 EVO,50.66,"[800,2800]","[17,35]",,
Asus TUF Gaming LC 120 ARGB,,"[800,2000]",,Black,120
Noctua NH-L9a,,,,,
Cougar Forza 50,32.9,"[600,2000]",,Black,
ARCTIC Freezer A35 RGB,36.99,"[200,1700]",,Black,
ID-COOLING AURAFLOW X 240 EVO,,"[700,1800]","[18,35.2]",Black,240
Jonsbo CR-3000 ARGB,49.45,"[600,1500]","[22,32]",White,
be quiet! Pure Loop 2,148.39,,"[17.2,36.8]",Black,360
Asus ROG Strix LC 240,170.57,"[800,2500]",,Black,240
Asus ROG STRIX LC 120 RGB,213.05,"[800,2500]",,Black,120
Deepcool CASTLE 360EX WHITE,,"[500,1800]",,White / Black,360
Cooler Master Hyper T2,,,"[17,35]",,
Deepcool GAMMAXX L120,,"[500,1800]",,Black,120
Thermalright Assassin King 120,,,,Black / Silver,
Iceberg Thermal IceSLEET G6 Stealth,54.99,"[600,1400]",,Black / Blue,
Mars Gaming ML-ONE,,"[600,1800]","[9,26]",Pink,120
Fractal Design Lumen S36 RGB,,"[500,2000]","[10,33.2]",Black,360
Jonsbo CR-3000 ARGB,49.45,"[600,1500]","[22,32]",Black / Silver,
Fractal Design Celsius S36 Blackout,,"[500,2000]",,Black,360
Fractal Design Celsius+ S28 Dynamic X2 PWM,,"[500,1700]",,Black,280
Enermax AQUAFUSION ADV,99.99,"[500,2000]","[17,32.6]",White,240
Jonsbo HX4170D,99,"[600,3300]",,Black,
GameMax Iceberg 240,,"[600,1800]","[25,32]",Black,240
MSI MAG CORELIQUID R,,"[500,2000]","[14.3,34.3]",Black,360
Deepcool CASTLE 240EX,,"[500,1800]",,Black,240
Asus ROG STRIX LC 360 RGB,,"[800,2500]",,Black,360
Jonsbo CR-1400 EVO Color White,,"[800,2200]","[22.3,33.8]",White,
Thermalright Aqua Elite V3,59.9,,,Black,360
Deepcool GAMMAXX 400 XT,,"[500,1500]",,White,
SilentiumPC Fortis 5 ARGB,,"[300,1400]",,Black / Silver,
CRYORIG C7 Cu,95.42,"[600,2500]",,White / Orange,
Jonsbo HP400S,29.99,"[900,2800]","[20.2,34]",Blue / Silver,
Asus ROG STRIX LC 240 RGB,170.57,"[800,2500]",,Black,240
ARCTIC Freezer 50 TR,,"[200,1800]",,Black,
Deepcool GAMMAXX L360 A-RGB,,"[500,1800]",,White,360
Deepcool GAMMAXX 400 V2,,"[500,1650]",,Black / Red,
ID-COOLING ZOOMFLOW 360 XT SNOW,,"[500,1500]","[13.8,30.5]",White,360
EVGA ACX mITX,18.2,"[800,2800]",,,
Silverstone Krypton KR01,32.99,"[800,3000]",,Black / Silver,
Thermaltake Floe DX RGB 360 TT Premium Edition,147.97,"[500,1500]","[19,23.9]",Black / Gray,360
Alphacool Eisbaer Pro Aurora,168.9,,,Black,240
Thermalright Frost Spirit 140 V3 WHITE,,,,White,
Mars Gaming MCPU-XT,143,"[800,1600]","[9,26]",Black,
ID-COOLING SE-224-XT,,"[700,1800]","[15.2,32.5]",Black,
Thermalright Aqua Elite V3,58.9,,,White,360
