name,price,type,efficiency,wattage,modular,color
Corsair RM750 (2019),214.99,ATX,gold,750,Full,Black
Asus ROG LOKI,229.99,SFX,platinum,1000,Full,Silver / Black
EVGA 650BP,74.99,ATX,bronze,650,false,Black
EVGA 600 BR,69.99,ATX,bronze,600,false,
Corsair HX1500i (2023),365.99,ATX,platinum,1500,Full,Black
SeaSonic S12III,61.41,ATX,bronze,500,false,Black
Thermaltake Toughpower Grand RGB,87.35,ATX,gold,650,Full,
Asus TUF Gaming 750G,,ATX,gold,750,Full,Black
be quiet! System Power 10,68.41,ATX,bronze,450,false,Black
Super Flower Leadex Titanium,699.99,ATX,titanium,1600,Full,Black
Gigabyte P650G (US),64.99,ATX,gold,650,false,Black
Asus ROG THOR P2 Gaming,277.88,ATX,platinum,1000,Full,Silver / Black
Gigabyte P850GM,159.97,ATX,gold,850,Full,Black
NZXT C1200,244.99,ATX,gold,1200,Full,Black
NZXT C1000 (2022),154.99,ATX,gold,1000,Full,Black
EVGA 650 N1,54.99,ATX,,650,false,
be quiet! Pure Power 12 M,94.9,ATX,gold,550,Full,Black
Athena Power AP-MTFX30,36.99,TFX,,300,false,
be quiet! Dark Power Pro 13,459.9,ATX,titanium,1600,Full,Black
Thermaltake Toughpower GF1 PE,117.99,ATX,gold,750,Full,Black
be quiet! System Power 10,138.11,ATX,bronze,650,false,Black
CoolMax I-500,26.68,ATX,,500,false,
Cooler Master MasterWatt 550,68.86,ATX,bronze,550,Semi,
SeaSonic FOCUS GX,105.65,ATX,gold,850,Full,Black
Thermaltake Toughpower GF3 TT Premium,104.99,ATX,gold,750,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,169.99,ATX,gold,1200,Full,Black
Corsair SF600,289,SFX,platinum,600,Full,Black
SeaSonic S12III,69,ATX,bronze,650,false,Black
Thermaltake Toughpower GF3 TT Premium,222.35,ATX,gold,1650,Full,Black
Corsair RM1000x,247.6,ATX,gold,1000,Full,
EVGA SuperNOVA 750 GM,134.99,SFX,gold,750,Full,Black
be quiet! Pure Power 11,120.31,ATX,gold,400,false,Black
be quiet! Pure Power 11,88.59,ATX,gold,600,false,Black
Cooler Master V550 V2,85.99,ATX,gold,550,Full,White
Super Flower Legion GX Pro,79.99,ATX,gold,750,Semi,Black
Corsair CV750,,ATX,bronze,750,false,Black
Thermaltake Toughpower GF3 TT Premium,119.99,ATX,gold,850,Full,Black
Enermax REVOLUTION D.F. 2,109.99,ATX,gold,850,Full,Black
SeaSonic PRIME PX-1300,309.89,ATX,platinum,1300,Full,Black
be quiet! Dark Power Pro 13,410.72,ATX,titanium,1300,Full,Black
EVGA SuperNOVA 750 G5,124.99,ATX,gold,750,Full,Black / Green
SeaSonic PRIME TX,514.99,ATX,titanium,1600,Full,Black / Silver
SeaSonic VERTEX GX-1200,229.99,ATX,gold,1200,Full,Black / Silver
Asus ROG-STRIX-850G,139.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 1300 GT,189.99,ATX,gold,1300,Full,Black
SeaSonic FOCUS Plus Platinum,189.99,ATX,platinum,850,Full,
Aerocool Integrator,,ATX,bronze,500,false,Black
Thermaltake Toughpower iRGB PLUS,,ATX,titanium,1250,Full,
be quiet! System Power 10,135,ATX,bronze,750,false,Black
Gigabyte P550B,69.99,ATX,bronze,550,false,Black
Phanteks AMP v2,129.99,ATX,gold,1000,Full,Black
MSI MPG A750GF WHITE,208,ATX,gold,750,Full,White
Cooler Master MWE Bronze V2,473,ATX,bronze,650,false,Black
be quiet! Straight Power 12,229.9,ATX,platinum,1000,Full,Black
Silverstone SFX,206,SFX,titanium,800,Full,
SeaSonic FOCUS Plus Platinum,159.99,ATX,platinum,750,Full,
EVGA 750 N1,65.8,ATX,,750,false,
Lian Li SP850,124.99,SFX,gold,850,Full,Black
SeaSonic FOCUS GX,204.14,ATX,gold,1000,Full,Black
EVGA SuperNOVA 850 GM,161.9,SFX,gold,850,Full,Black
Asus TUF Gaming 850G,200,ATX,gold,850,Full,Black
MSI MAG A650GL,89.99,ATX,gold,650,Full,Black
Cooler Master V SFX Platinum,256.73,SFX,platinum,1100,Full,Black
EVGA SuperNOVA 750 G2,,ATX,gold,750,Full,
Asus ROG THOR 1200P,,ATX,platinum,1200,Full,Black
Enermax REVOLUTION D.F. 2,129.99,ATX,gold,1050,Full,Black
