name,price,type,efficiency,wattage,modular,color
EVGA SuperNOVA 550 G3,,ATX,gold,550,Full,
SeaSonic FOCUS SGX,181.83,SFX,gold,650,Full,Black
EVGA 450 BV,,ATX,bronze,450,false,
SeaSonic FOCUS GX-850 ATX 3.0,160.54,ATX,gold,850,Full,Black
Silverstone SX500-G,106.99,SFX,gold,500,Full,
PowerSpec PS 650BSM,,ATX,bronze,650,Semi,Black
EVGA SuperNOVA 850 G6,179.99,ATX,gold,850,Full,Black
SeaSonic PRIME TX-850,459,ATX,titanium,850,Full,Black
Corsair TX750M,,ATX,gold,750,Semi,Black
SeaSonic FOCUS SPX (2021),194.99,SFX,platinum,750,Full,Black
Deepcool PF550 230V,,ATX,plus,550,false,Black
Fractal Design Ion+ 560P,,ATX,platinum,560,Full,Black
Rosewill HIVE S,,ATX,bronze,650,Full,
Corsair CX500,249.99,ATX,bronze,500,false,
Azza ARGB,64.98,ATX,bronze,650,false,Black
be quiet! System Power 9,109.49,ATX,bronze,600,false,Black
Super Flower Leadex V Platinum Pro,139.99,ATX,platinum,850,Full,White
Deepcool DQ750-M-V2L,,ATX,gold,750,Full,Black / Green
Super Flower LEADEX VII XG,179.99,ATX,gold,850,Full,Black
SeaSonic FOCUS GX-1000 ATX 3.0,201.59,ATX,gold,1000,Full,Black
SHARKOON WPM Gold Zero 550,,ATX,gold,550,Semi,Black
Cooler Master MWE Gold V2 ATX3.0,189.99,ATX,gold,1050,Full,Black
Corsair RM550x (2018),,ATX,gold,550,Full,Black / Silver
ADATA XPG PYLON,,ATX,bronze,750,false,Black
Zalman ZM-600-GT,,ATX,bronze,600,Semi,
Cooler Master MWE Gold V2 ATX3.0,218.68,ATX,gold,1250,Full,Black
SeaSonic FOCUS Plus 550 Gold,,ATX,gold,550,Full,
Fractal Design Ion Gold,,ATX,gold,550,Full,Black
Thermaltake Smart BM3,79.98,ATX,bronze,750,Semi,Black
FSP Group Hydro GE,89.99,ATX,gold,550,Full,
Thermaltake Toughpower SFX 600W Gold,160.43,SFX,gold,600,Full,Black
Gigabyte AORUS P GM,167.59,ATX,gold,850,Full,Black / Silver
Super Flower Leadex Titanium,319.99,ATX,titanium,1000,Full,Black
Montech TITAN GOLD 1200W,194.99,ATX,gold,1200,Full,Black
be quiet! Straight Power 12,189.9,ATX,platinum,750,Full,Black
Thermaltake Litepower,,ATX,,650,false,
Deepcool PK500D,,ATX,bronze,500,false,Black
Silverstone SX700-PT,137.94,SFX,platinum,700,Full,Black
Cougar VTE,58.49,ATX,bronze,600,false,Black
Asus TUF Gaming B,89.99,ATX,bronze,450,false,Black
GameMax GM,,ATX,bronze,800,Semi,Black
Deepcool PF450 230V,,ATX,plus,450,false,Black
SeaSonic VERTEX GX-850,193.99,ATX,gold,850,Full,Black / Silver
GameMax GX Pro Rampage,119.99,ATX,gold,850,Full,White
Cooler Master XG750 Plus,114.49,ATX,platinum,750,Full,Black
EVGA SuperNOVA 650 GA,207.99,ATX,gold,650,Full,Black
FSP Group HV PRO,,ATX,plus,650,false,Black
SeaSonic G12 GM,153.74,ATX,gold,850,Semi,Black / Blue
CoolMax V-400,24.99,ATX,,400,false,
Thermaltake TR2 S,77.89,ATX,plus,700,false,Black
Cooler Master G800,,ATX,gold,800,false,Black
Thermaltake Smart RGB,,ATX,plus,700,false,
Thermaltake Toughpower GF1 ARGB,,ATX,gold,850,Full,
FSP Group Hydro G Pro,,ATX,gold,850,Full,Black
Apevia Galaxy,79.98,ATX,gold,1000,Semi,Black
EVGA SuperNOVA 750 GA,205,ATX,gold,750,Full,Black
Corsair TX750M Gold,,ATX,gold,750,Semi,
Thermaltake Smart BM3,89.99,ATX,bronze,850,Semi,Black
Fractal Design Ion+ 2 Platinum,554,ATX,platinum,860,Full,Black
Corsair CX500M,179.94,ATX,bronze,500,Semi,
EVGA SuperNOVA 1300 G+,299.99,ATX,gold,1300,Full,Black
Thermaltake Toughpower Grand RGB,184.1,ATX,gold,850,Full,
Deepcool PX-G,179.26,ATX,gold,1200,Full,Black
EVGA SuperNOVA 1200 P2,499.99,ATX,platinum,1200,Full,
FSP Group FSP400-60FGGBA,109.99,Flex ATX,gold,400,false,
Deepcool DQ-M-V2L,180.88,ATX,gold,850,Full,Black / Green
EVGA SuperNOVA 1000 P2,,ATX,platinum,1000,Full,
SeaSonic FOCUS,189.95,ATX,platinum,750,Full,Black
SHARKOON SilentStorm Cool Zero 750,148.09,ATX,gold,750,Full,Black
EVGA 650 B5,114.99,ATX,bronze,650,Full,Black
Cooler Master M2000,,ATX,platinum,2000,Full,Black
SeaSonic FOCUS,153.98,ATX,platinum,650,Full,Black
Corsair SF450,225.03,SFX,gold,450,Full,
Gigabyte AORUS P GM,147.43,ATX,gold,750,Full,Black / Silver
Thermaltake Toughpower GF1 ARGB,,ATX,gold,650,Full,
Thermaltake Toughpower iRGB PLUS TT Premium Edition,,ATX,titanium,1650,Full,Black
Apex AG-M,89.99,ATX,gold,850,Full,Black
Asus ROG Strix Aura Edition,462.73,ATX,gold,1200,Full,Black
Silverstone SFX,91.15,SFX,bronze,450,false,Black
GameMax RGB,268.99,ATX,platinum,1300,Full,Black
Cooler Master MWE GOLD 650 V2 FULL MODULAR,,ATX,gold,650,Full,Black
EVGA SuperNOVA 850 P2,398.96,ATX,platinum,850,Full,
"FSP Group Hydro Ti PRO,Gen 5",,ATX,titanium,1000,Full,Black
GAMDIAS KRATOS M1 B,79.98,ATX,bronze,750,false,Black
Corsair AX1000,,ATX,titanium,1000,Full,Black / Silver
EVGA SuperNOVA 650 G+,119.59,ATX,gold,650,Full,Black
Enermax CYBERBRON,,ATX,bronze,500,false,Black / Silver
SeaSonic PRIME PX,387.87,ATX,platinum,1600,Full,Black / Silver
Silverstone TX500-G,145.38,TFX,gold,500,false,Black
EVGA SuperNOVA 850 GA,,ATX,gold,850,Full,Black
NZXT C650,,ATX,bronze,650,Semi,Black
Corsair CX750,250.38,ATX,bronze,750,false,
SeaSonic PRIME Fanless,299.99,ATX,titanium,700,Full,Black
GameMax GP,,ATX,bronze,500,false,Black
SeaSonic M12II,,ATX,bronze,620,Full,
EVGA SuperNOVA 650 G6,125.47,ATX,gold,650,Full,Black
Phanteks Revolt X,,ATX,platinum,1200,Full,Black / Silver
Razer Katana Chroma,389.99,ATX,platinum,1200,Full,Black
NZXT C750,,ATX,bronze,750,Semi,Black
Corsair RM550x,229.93,ATX,gold,550,Full,
Deepcool PX-G,128.47,ATX,gold,850,Full,Black
Cooler Master MWE Bronze V2,,ATX,bronze,600,false,Black
Thermaltake Toughpower SFX,204.98,SFX,gold,1000,Full,Black
Corsair CX750 (2017),94.99,ATX,bronze,750,false,
be quiet! Straight Power 11,,ATX,platinum,650,Full,Black
Fractal Design Ion SFX 500G,,SFX,gold,500,Full,Black
SeaSonic PRIME PX,,ATX,platinum,1000,Full,Black / Silver
Corsair CX650 (2017),,ATX,bronze,650,false,
Logisys PS480D,16.98,ATX,,480,false,
Super Flower Leadex Platinum SE,164.99,ATX,platinum,1000,Full,White
SHARKOON SilentStorm Cool Zero 650,136.38,ATX,gold,650,Full,Black
Fractal Design Ion+ 2 Platinum,547,ATX,platinum,760,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,217,ATX,gold,1200,Full,Black
Corsair AX850,499.94,ATX,titanium,850,Full,Black / Silver
be quiet! Pure Power 11 CM,114.89,ATX,gold,700,Semi,Black
Thermaltake Toughpower SFX,144.99,SFX,gold,850,Full,Black
SeaSonic FOCUS GX-750 ATX 3.0,149.99,ATX,gold,750,Full,Black
SeaSonic Prime Fanless PX-500,291,ATX,platinum,500,Full,Black
GameMax RGB Rainbow,,ATX,gold,1050,Full,Black
Corsair CX450 (2017),113.94,ATX,bronze,450,false,
Silverstone Strider Platinum S,238.99,ATX,platinum,1200,Full,Black
"FSP Group Hydro PTM X PRO,Gen5",183.3,ATX,platinum,1000,Full,Black
EVGA SuperNOVA 1000 G3,399.99,ATX,gold,1000,Full,
EVGA 500 B1,,ATX,bronze,500,false,
Segotep GM,,ATX,gold,850,Full,Black
Super Flower Leadex V Platinum Pro,164.99,ATX,platinum,1000,Full,White
Corsair HX850i,396,ATX,platinum,850,Full,
Cooler Master MWE Gold 750,,ATX,gold,750,Full,Black
Corsair CX650F,,ATX,bronze,650,Full,White / Black
Phanteks Revolt SFX,153.36,SFX,gold,750,Full,Black
Cooler Master MWE Bronze,85.85,ATX,bronze,500,false,Black
SeaSonic PRIME TX-1300 ATX 3.0,,ATX,titanium,1300,Full,Black / Silver
Silverstone DA650 Gold,,ATX,gold,650,Full,Black / White
Super Flower Leadex Titanium,239.99,ATX,titanium,850,Full,Black
Gigabyte P1000GM,,ATX,gold,1000,Full,Black
SeaSonic FOCUS Gold,,ATX,gold,750,Semi,
Thermaltake Toughpower GX1,83.56,ATX,gold,600,Semi,Black
Antec NE850G M ATX3.0,139.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GF2 ARGB,89.99,ATX,gold,750,Full,Black
Super Flower Leadex VI Platinum PRO,219.99,ATX,platinum,1000,Full,Black / Blue
Silverstone Strider Titanium,355.99,ATX,titanium,1300,Full,Black / Blue
SeaSonic B12 BC,,ATX,bronze,850,false,
EVGA 600 B1,191.99,ATX,bronze,600,false,
Asus ROG Strix,,ATX,gold,550,Full,Black / Red
Thermaltake Smart RGB 230V,186.06,ATX,plus,500,false,Black
Corsair VS650,,ATX,,650,false,
SeaSonic PRIME 1300 Gold,281.99,ATX,gold,1300,Full,Black
EVGA 1000 GQ,327.99,ATX,gold,1000,Semi,
Cooler Master V550 SFX GOLD,114.99,SFX,gold,550,Full,Black
Corsair CX430,,ATX,bronze,430,false,
Cooler Master V SFX Gold ATX 3.0,163.99,SFX,gold,850,Full,Black
"FSP Group Hydro PTM X PRO,Gen5",199.99,ATX,platinum,850,Full,Black
SeaSonic FOCUS SGX,,SFX,gold,500,Full,Black
FSP Group Dagger Pro,134.99,SFX,gold,650,Full,Black
EVGA SuperNOVA 850 G7,,ATX,gold,850,Full,Black / Blue
EVGA SuperNOVA 1300 P+,450.58,ATX,platinum,1300,Full,Black
FSP Group Dagger Pro,149.99,SFX,gold,750,Full,Black / Gold
Corsair TX850M Gold,316.72,ATX,gold,850,Semi,
FSP Group Hydro G Pro,,ATX,gold,650,Full,Black
ADATA XPG CYBERCORE,189.99,ATX,platinum,1300,Full,Black / Silver
Deepcool PF400 230V,,ATX,plus,400,false,Black
Corsair RM1000,396,ATX,gold,1000,Full,
EVGA SuperNOVA 1300 G2,,ATX,gold,1300,Full,
Mars Gaming MPII650,,ATX,,650,false,Black / Red
Super Flower LEADEX VII XG,209.99,ATX,gold,1000,Full,Black
Cougar GEX,135,ATX,gold,850,Full,Black
EVGA SuperNOVA 650 G1,218.49,ATX,gold,650,Full,
Deepcool PK700D,,ATX,bronze,700,false,Black
KOLINK Classic Power,,ATX,bronze,600,false,Black / Red
NZXT C550,,ATX,bronze,550,Semi,Black
Corsair AX1500i,,ATX,titanium,1500,Full,
Thermaltake Litepower,,ATX,,550,false,
Silverstone HELA 850R,216.46,ATX,platinum,850,Full,Black / Silver
Gigabyte UD1000GM PG5,129.99,ATX,gold,1000,Full,Black
Silverstone Strider Platinum,150,ATX,platinum,850,Full,
Thermaltake Toughpower GF A3 - TT Premium Edition,,ATX,gold,650,Full,Black
NOX Hummer,83.39,ATX,bronze,650,Semi,
Chieftec GPS-600A8,,ATX,plus,600,false,
Corsair AX860,,ATX,platinum,860,Full,
Thermaltake Smart BM2,,ATX,bronze,750,Semi,Black
Antec NeoECO Gold,177.78,ATX,gold,750,Full,
be quiet! Straight Power 11 1000W,299.8,ATX,gold,1000,Full,
Corsair CX550F,180.43,ATX,bronze,550,Full,Black
Corsair HX750i,436.94,ATX,platinum,750,Full,
Corsair CS650M,299.99,ATX,gold,650,Semi,
Asus TUF Gaming B,,ATX,bronze,550,false,Black
SeaSonic CORE GM,163.44,ATX,gold,500,Semi,Black
PowerSpec PS 650GSM,,ATX,gold,650,Semi,Black
Aerocool Integrator MOD XT,,ATX,bronze,750,Semi,Black / Red
In Win IP-S200DF1-0,52.02,TFX,,200,false,
EVGA SuperNOVA 750 P2,,ATX,platinum,750,Full,
be quiet! Pure Power 11 FM 1000,,ATX,gold,1000,Full,Black
SeaSonic M12II EVO,,ATX,bronze,520,Full,Black
iTek GF750 EVO,,ATX,gold,750,Full,Black / Red
Corsair CX550M (2021),,ATX,bronze,550,Semi,Black
Thermaltake Toughpower PF3,,ATX,platinum,1200,Full,Black
Inter-Tech Argus APS,,ATX,,720,false,Black / Orange
EVGA 750 B5,,ATX,bronze,750,Full,Black
Thermaltake TR2 S,163.94,ATX,plus,600,false,Black
SeaSonic CORE GM,,ATX,gold,650,Semi,Black
Deepcool PF700 230V,,ATX,plus,700,false,Black
EVGA SuperNOVA 850 G+,,ATX,gold,850,Full,
ARESGAME AGK,,ATX,gold,850,Full,Black / Red
Deepcool PK600D,,ATX,bronze,600,false,Black
Silverstone SFX,153.25,SFX,platinum,700,Full,
Chieftec GPS-700A8,,ATX,bronze,700,false,Black / White
Silverstone Essential,74.98,ATX,gold,550,false,Black / Yellow
Fractal Design Ion+ 660P,,ATX,platinum,660,Full,Black
be quiet! Dark Power 12,,ATX,titanium,1000,Full,Black
SeaSonic PRIME 600 Titanium,,ATX,titanium,600,Full,Black
Silverstone SX750-PT,,SFX,platinum,750,Full,Black
EVGA SuperNOVA 750 P5,,ATX,platinum,750,Full,Black / Teal
Thermaltake Toughpower PF1 - TT Premium Edition,,ATX,platinum,650,Full,
Corsair AX1200,,ATX,gold,1200,Full,
SeaSonic PRIME,162.99,ATX,gold,850,Full,Black
SeaSonic SSP-300SUG,84.44,Flex ATX,gold,300,false,
SeaSonic FOCUS Gold,114.98,ATX,gold,650,Semi,
EVGA 450 BT,,ATX,bronze,450,false,
ARESGAME AGT,,ATX,gold,1000,Full,Black
Silverstone TX700-G,179.05,TFX,gold,700,false,Black
Thermaltake Toughpower PF3,,ATX,platinum,1050,Full,Black
Antec VP PLUS,,ATX,plus,700,false,Black
Cooler Master V750 Gold V2,,ATX,gold,750,Full,Black
FSP Group FSP300-60LG,148.02,Mini ITX,bronze,300,false,
EVGA SuperNOVA 750 G+,,ATX,gold,750,Full,Black
Phanteks AMP,,ATX,gold,1000,Full,White
In Win P75F,,ATX,gold,750,false,Black
EVGA SuperNOVA 850 P5,,ATX,platinum,850,Full,Black / Teal
NZXT E850,149.99,ATX,gold,850,Full,Black
Antec NeoECO Gold,,ATX,gold,850,Full,
Corsair RM650,223.29,ATX,gold,650,Full,
NOX URANO TX,,ATX,,850,false,
Thermaltake Smart Pro RGB,,ATX,bronze,850,Full,
SeaSonic PRIME PX,164.99,ATX,platinum,750,Full,Black / Silver
Thermaltake Smart Pro RGB,104.99,ATX,bronze,750,Full,
Silverstone FX500-G,,Flex ATX,gold,500,false,Black
Corsair GS800,299.99,ATX,bronze,800,false,
Super Flower Leadex III ARGB,199.99,ATX,gold,850,Full,White
Xilence XP600R6,110.57,ATX,,600,false,Black / Red
EVGA SuperNOVA 550 GA,,ATX,gold,550,Full,Black
EVGA SuperNOVA 650 G7,104.99,ATX,gold,650,Full,Black / Blue
Thermaltake Smart RGB,,ATX,plus,600,false,
SeaSonic FOCUS,,ATX,gold,750,Semi,Black
Silverstone Strider Platinum S,212.99,ATX,platinum,1000,Full,Black
Razer Katana Chroma,279.99,ATX,platinum,850,Full,Black
SeaSonic B12 BC,,ATX,bronze,550,false,
Corsair CX430M,195.99,ATX,bronze,430,Semi,
EVGA SuperNOVA 1000 T2,,ATX,titanium,1000,Full,
Cooler Master V650 Gold V2,,ATX,gold,650,Full,Black
Gigabyte UD1300GM PG5,229.99,ATX,gold,1300,Full,Black
EVGA SuperNOVA 1200 P3,597.9,ATX,platinum,1200,Full,Black / Silver
Corsair TX650,292.99,ATX,plus,650,false,
FSP Group Hydro G Pro,,ATX,gold,750,Full,Black
GAMDIAS KRATOS P1 G,84.99,ATX,gold,750,false,Black
EVGA SuperNOVA NEX650G Gold,,ATX,gold,650,Full,
EVGA SuperNOVA G FTW,199.99,ATX,gold,1000,Full,Black
SeaSonic PRIME TX-750,369,ATX,titanium,750,Full,Black
EVGA 700 BQ,,ATX,bronze,700,Semi,Black
Cooler Master MWE Bronze 650,,ATX,bronze,650,false,Black
Super Flower Leadex VI Platinum PRO,129.99,ATX,platinum,850,Full,Black / Blue
Corsair AX760,,ATX,platinum,760,Full,
SeaSonic VERTEX PX-850,239.99,ATX,platinum,850,Full,Black / Silver
Thermaltake Toughpower,,ATX,gold,650,Semi,
be quiet! Straight Power 12,379.9,ATX,platinum,1500,Full,Black
Thermaltake Toughpower GX1 RGB,,ATX,gold,700,false,Black
Corsair CS750M,,ATX,gold,750,Semi,
Corsair TX750,,ATX,plus,750,false,
Azza PSAZ-650B14,,ATX,,650,false,
Asus ROG Strix Aura Edition,199.99,ATX,gold,850,Full,Black
be quiet! Straight Power 11 550W,109,ATX,gold,550,Full,
Antec High Current Gamer Gold,162.88,ATX,gold,750,Full,Black
Thermaltake Toughpower GF1 ARGB,,ATX,gold,750,Full,
EVGA SuperNOVA 650 P2,171.31,ATX,platinum,650,Full,
Corsair CS550M,,ATX,gold,550,Semi,
EVGA SuperNOVA NEX750B,,ATX,bronze,750,Semi,
Lian Li PE,,SFX,platinum,750,Full,
SeaSonic PRIME Ultra Titanium,339,ATX,titanium,750,Full,
be quiet! Pure Power 11 FM 750,123.59,ATX,gold,750,Full,Black
Corsair HX750,,ATX,platinum,750,Full,Black
Cooler Master G600,,ATX,gold,600,false,Black
Corsair HX1000,396,ATX,plus,1000,Semi,
Phanteks Revolt Pro,,ATX,gold,850,Full,Silver / Black
Segotep GM,,ATX,gold,850,Full,White
Apevia Prestige,,ATX,gold,1000,false,Black
SeaSonic M12II,,ATX,bronze,620,false,
Enhance ENP-7660,,Flex ATX,platinum,600,false,Silver
Thermaltake Toughpower SFX,137.16,SFX,gold,750,Full,Black
Corsair RM750i,,ATX,gold,750,Full,
GAMDIAS KRATOS E1,119,ATX,plus,600,false,Black
be quiet! Pure Power 11 FM 650,,ATX,gold,650,Full,Black
SHARKOON SilentStorm,140,SFX,gold,500,Full,Black
Corsair VS500 (2020),123.09,ATX,bronze,500,false,Black
Corsair HX750,273.99,ATX,gold,750,Semi,
EVGA 430 W1,,ATX,plus,430,false,
Antec CSK,,ATX,bronze,750,Semi,Black / Yellow
Gigabyte PW400,,ATX,plus,400,false,Black
Deepcool DA500,,ATX,bronze,500,false,Black / Gold
Segotep GP,,ATX,gold,600,false,Black
be quiet! System Power 9,,ATX,bronze,500,false,Black
SeaSonic PRIME,162.81,ATX,gold,750,Full,Black
Cougar BXM750,94.98,ATX,bronze,750,Semi,Orange / Black
EVGA GE,86.01,ATX,gold,700,false,Black
Raidmax Cobra,,ATX,bronze,400,false,
EVGA SuperNOVA 650 P6,170.99,ATX,platinum,650,Full,Black / Silver
Enermax Revolution D.F.,,ATX,gold,650,Full,Black
Aerocool AER-P7-P650W,,ATX,platinum,650,Full,
SeaSonic VERTEX GX-750,169.99,ATX,gold,750,Full,Black / Silver
"FSP Group Hydro PTM PRO,Gen5",289.99,ATX,platinum,1200,Full,Black
Gigabyte GP-G750H,,ATX,gold,750,Semi,Black
Super Flower Leadex III ARGB,,ATX,gold,650,Full,White
GAMDIAS KRATOS M1 B,,ATX,bronze,550,false,Black
PowerSpec GFM,99.99,ATX,gold,750,Full,Black
SeaSonic Prime Fanless PX-450,262,ATX,platinum,450,Full,Black
be quiet! Pure Power 11 FM 550,98.59,ATX,gold,550,Full,Black
LC-Power OFFICE SERIES,,ATX,,600,false,Black
FSP Group HYPER K PRO,,ATX,plus,700,false,Black / Yellow
Deepcool PF750 230V,,ATX,plus,750,false,Black
Corsair RM850i,,ATX,gold,850,Full,
EVGA SuperNOVA 1000 G2,,ATX,gold,1000,Full,
Corsair RM1000i,,ATX,gold,1000,Full,
Silverstone SFX,,SFX,bronze,300,false,
Corsair VS500,190.5,ATX,plus,500,false,
Antec EARTHWATTS GOLD PRO 550,,ATX,gold,550,Semi,Black
Corsair AX850,499.99,ATX,gold,850,Full,
Corsair RM750x White,,ATX,gold,750,Full,White / Black
EVGA 600 GQ,,ATX,gold,600,Semi,Black
SeaSonic PRIME Ultra Platinum 750,159,ATX,platinum,750,Full,Black
Super Flower Leadex V Pro,154.99,ATX,gold,1000,Full,White
Cooler Master MWE Gold,,ATX,gold,550,Full,Black
Corsair VS450,,ATX,,450,false,
be quiet! Dark Power 12,338,ATX,titanium,750,Full,Black
SeaSonic S12III,184.61,ATX,bronze,550,false,Black
Deepcool PM650D,99.99,ATX,gold,650,false,Black
SeaSonic CORE GC-500,,ATX,gold,500,false,Black / Yellow
Antec CSK,,ATX,bronze,550,false,Black / Yellow
NZXT C (2019),,ATX,gold,850,Full,Black
Silverstone DA1650 Gold,,ATX,gold,1650,Full,Black / White
Corsair CX850M,,ATX,bronze,850,Semi,
SilentiumPC Vero L2,,ATX,bronze,600,false,Black
FSP Group Dagger Pro,154.99,SFX,gold,850,Full,Black / Gold
SeaSonic PRIME,304,ATX,gold,1000,Full,Black
Cooler Master MWE Gold 1250 - V2,,ATX,gold,1250,Full,Black
KOLINK Classic Power,,ATX,bronze,400,false,Black / Red
Cooler Master V700,,ATX,gold,700,Full,
be quiet! Straight Power 11 650W,,ATX,gold,650,Full,
MSI MAG A600DN,,ATX,plus,600,false,Black
Corsair RM850,,ATX,gold,850,Full,
Corsair TX550M,,ATX,gold,550,Semi,Black
Cooler Master G500,,ATX,gold,500,false,Black
Thermaltake Litepower,,ATX,,450,false,
Montech TITAN GOLD 850W,172.99,ATX,gold,850,Full,Black
Antec NE1000G M ATX3.0,175.39,ATX,gold,1000,Full,Black
Deepcool PF350 230V,,ATX,plus,350,false,Black
Cooler Master MWE White V2 230V,,ATX,plus,550,false,Black
EVGA SuperNOVA 650 GS,,ATX,gold,650,Full,
Xilence XP1050MR9,203.09,ATX,gold,1050,Full,Black / Red
Deepcool DA700N,,ATX,bronze,700,false,Black
be quiet! Dark Power 12,,ATX,titanium,850,Full,Black
Antec CSK,,ATX,bronze,650,false,Black / Yellow
SilentiumPC Supremo FM2,,ATX,gold,750,Full,Black
Super Flower Leadex III Gold,113.68,ATX,gold,550,Full,Black
EVGA SuperNOVA 850 T2,,ATX,titanium,850,Full,
SeaSonic S12II,249.25,ATX,bronze,520,false,
Cooler Master Silent Pro Gold,,ATX,gold,800,Semi,
Corsair RM650x,203.8,ATX,gold,650,Full,
Antec VP PLUS,,ATX,plus,500,false,Black
EVGA SuperNOVA 1000 G7,,ATX,gold,1000,Full,Black / Blue
Silverstone Strider,,ATX,plus,500,false,
MSI MAG A500DN,,ATX,plus,500,false,Black
SeaSonic FOCUS,114.98,ATX,gold,650,Semi,Black
Corsair Vengeance 650M,,ATX,silver,650,Semi,Black
EVGA SuperNOVA 1000 P5,,ATX,platinum,1000,Full,Blue / Black
EVGA 450 W3,,ATX,plus,450,false,Black
Cooler Master MWE 500,,ATX,plus,500,false,Black
Cooler Master MWE Bronze V2,,ATX,bronze,700,false,Black
NOX Hummer X,,ATX,gold,650,Full,Black
Thermaltake TR2 S,,ATX,plus,650,false,
EVGA 600 BA,,ATX,bronze,600,false,Black
Cooler Master 600W MasterWatt Lite 230V,,ATX,plus,600,false,
Cooler Master MWE Gold 1050 - V2,605,ATX,gold,1050,Full,Black
SeaSonic FOCUS,103.98,ATX,gold,550,Semi,Black
NZXT C (2019),,ATX,gold,750,Full,Black
Cooler Master V1000,,ATX,gold,1000,Full,
Phanteks Revolt X,,ATX,platinum,1000,Full,Black / Silver
Asus ROG-STRIX-850G-GUNDAM-EDITION,,ATX,gold,850,Full,White
BitFenix Formula Bronze,,ATX,bronze,600,false,Black
be quiet! System Power 9,,ATX,bronze,400,false,Black
"FSP Group Hydro PTM X PRO,Gen5",269.99,ATX,platinum,1200,Full,Black
PowerSpec PSX 850GFM,,ATX,gold,850,Full,Black
be quiet! Pure Power 11 FM 850,,ATX,gold,850,Full,Black
Corsair AX860i,,ATX,platinum,860,Full,
Tacens Radix VII AG,,ATX,silver,600,false,Black
Cooler Master MWE GOLD 750 V2,,ATX,gold,750,false,Black
Cougar GEX,,ATX,gold,750,Full,Black
NOX Hummer GD,105.68,ATX,gold,750,false,
ARESGAME AGS,,ATX,gold,750,Semi,Black / Red
EVGA SuperNOVA 1000G XC,174.99,ATX,gold,1000,Full,Black
EVGA GE,83.79,ATX,gold,600,false,Black
Asus ROG Strix Aura Edition,189.99,ATX,gold,750,Full,Black
LC-Power LC6650 V2.3,,ATX,bronze,650,false,Black
Cooler Master XG650 Plus,127.61,ATX,platinum,650,Full,Black
FSP Group HYPER K PRO,,ATX,plus,600,false,Black / Yellow
Antec High Current Gamer Gold,,ATX,gold,650,Full,Black
Thermaltake Smart RGB,,ATX,plus,500,false,Black
Silverstone Strider Titanium,329.99,ATX,titanium,1100,Full,Black / Blue
SHARKOON SilentStorm Cool Zero 850,163.59,ATX,gold,850,Full,Black
Cooler Master V1200,,ATX,platinum,1200,Full,
Cooler Master G750M,,ATX,bronze,750,Semi,
Silverstone Essential,103.99,ATX,gold,750,false,Black / Yellow
EVGA GE,78.67,ATX,gold,500,false,Black
Antec Signature Platinum,264.37,ATX,platinum,1300,Full,Black
Enermax Revolution D.F. X,149.99,ATX,gold,1050,Full,Black
Azza PSAZ-750PT14,,ATX,platinum,750,Semi,
Fractal Design Ion+ 760P,,ATX,platinum,760,Full,Black
Enermax CYBERBRON,,ATX,bronze,600,false,Black / Silver
Silverstone ST85F-GS-V2,121.11,ATX,gold,850,Full,
Deepcool DQ750-M-V2L,,ATX,gold,750,Full,White / Black
Silverstone SX-G,133.09,SFX,gold,700,Full,Black
Corsair RM650i,,ATX,gold,650,Full,
Corsair TX850,499.93,ATX,plus,850,false,
Cougar VTX,,ATX,bronze,500,false,Black
Xigmatek NRP-PC602,,ATX,bronze,600,false,
Corsair VS550,,ATX,,550,false,
FSP Group Hydro PTM PRO,149.99,ATX,platinum,750,Full,Black
Silverstone Strider,99.99,ATX,bronze,700,Full,
Thermaltake Toughpower PF1 - TT Premium Edition,,ATX,platinum,850,Full,Black
EVGA 610 BP,69.98,ATX,bronze,610,false,Black
Gigabyte B700H,,ATX,bronze,700,Semi,Black
be quiet! Pure Power 11,,ATX,bronze,350,false,Black
Mars Gaming MP700,,ATX,,700,false,
G.Skill PS750G,,ATX,gold,750,Full,Black
Enermax Revolution D.F. X,129.99,ATX,gold,850,Full,Black
GameMax GS,,SFX,bronze,300,false,Silver
Xilence XP750MR9,,ATX,gold,750,Semi,Black / Red
be quiet! Dark Power Pro 11,159.9,ATX,platinum,650,Semi,
Thermaltake Smart SE,124.42,ATX,,630,Semi,
SeaSonic Core GC,,ATX,gold,650,false,Black
Antec NeoECO Gold ZEN,,ATX,gold,600,false,Black / Gold
SeaSonic Platinum,,ATX,platinum,400,Full,
Cooler Master V850,,ATX,gold,850,Full,Black
be quiet! Pure Power L8,,ATX,bronze,300,false,
Corsair HX1050,399,ATX,gold,1050,Semi,
GameMax GM-1050,,ATX,silver,1050,Semi,
SeaSonic PRIME Ultra Platinum 1000,341.46,ATX,platinum,1000,Full,Black
be quiet! Pure Power 11 CM,,ATX,gold,500,Semi,Black
Silverstone SX650-G,139.99,SFX,gold,650,Full,
Sparkle FSP300-60ATV,59.99,ATX,,300,false,
Cooler Master MasterWatt Lite 500W Full Range,,ATX,plus,500,false,
EVGA SuperNOVA 750 B2,,ATX,bronze,750,Semi,
CoolMax V-500,29.78,ATX,,500,false,
FSP Group Hydro G PRO ATX3.0(PCIe5.0),,ATX,gold,1000,Full,Black
