name,style,switches,backlit,tenkeyless,connection_type,color
Thermaltake Poseidon Z,79.98,Kailh Blue,Blue,FALSE,Wired,Black
Thermaltake POSEIDON Z RGB,0,Kailh Blue,RGB,FALSE,Wired,Black
Feenix Autore,0,Cherry MX Brown,,FALSE,Wired,Black
G.Skill RIPJAWS KM780 MX,0,Cherry MX Red,RGB,FALSE,Wired,Black
A4Tech B120,0,,Red,FALSE,Wired,Black
Adesso SlimTouch 270,0,,,FALSE,Wired,White
Cougar AttackX3-4IS (MX Brown),0,Cherry MX Brown,Red,FALSE,Wired,Black / White
Genius Scorpion K20,0,,RGB,FALSE,Wired,Black
ROCCAT Isku FX,0,,Multicolor,FALSE,Wired,White
Logitech K380,0,,,TRUE,Bluetooth Wireless,Blue
G.Skill RIPJAWS KM780 MX,0,Cherry MX Blue,Red,FALSE,Wired,Black
HP QY776AA#ABC,0,,,FALSE,Wired,Black
Microsoft 2VJ-00003,0,,,FALSE,Wired,Black
Microsoft 3TJ-00002,0,,,FALSE,Wired,Black
Microsoft E6K-00002,0,,,FALSE,Wireless,Black
SteelSeries Apex 350,0,,RGB,FALSE,Wired,Black
Max Keyboard Blackbird,0,Cherry MX Brown,Red,TRUE,Wired,Black
Redragon ASURA K501,0,,Multicolor,FALSE,Wired,Black / Red
Ducky Ducky Shine 5 RGB,0,Cherry MX Brown,RGB,FALSE,Wired,Black
Ducky Ducky Shine 5 RGB,0,Cherry MX Blue,RGB,FALSE,Wired,Black
G.Skill RIPJAWS KM780R RGB,0,Cherry MX Blue,RGB,FALSE,Wired,Black
G.Skill RIPJAWS KM780R RGB,0,Cherry MX Brown,RGB,FALSE,Wired,Black
G.Skill RIPJAWS KM780R,0,Cherry MX Blue,Red,FALSE,Wired,Black
KBParadise V60,0,Cherry MX Blue,Red / Blue,TRUE,Wired,Black
Genius G-ZEUS,0,,RGB,FALSE,Wired,Black
Cooler Master MasterKeys Pro L,0,Cherry MX Blue,RGB,FALSE,Wired,Black
Das Keyboard Division Zero X40,0,Alpha-Zulu Tactile,Red,FALSE,Wired,Black / Gray
Speedlink SL-6482-BK,0,,Red,FALSE,Wired,Black
Tomoko MMC023,0,Huano Blue,,TRUE,Wired,Black
Razer Tartarus Chroma Expert,0,,RGB,FALSE,Wired,Black
ROCCAT Ryos MK FX RGB,0,Cherry MX Brown,RGB,FALSE,Wired,Black
Asus Cerberus Arctic,0,,Multicolor,FALSE,Wired,White / Black
AZIO MGK L80,0,Kailh Brown,RGB,FALSE,Wired,Black
AZIO MGK L80,0,Kailh Brown,Red,FALSE,Wired,Black
AZIO MGK L80,0,Kailh Blue,Blue,FALSE,Wired,Black
AllSmartLife K108,0,Outemu Blue,RGB,FALSE,Wired,Black
Penclic C2B,0,,,TRUE,Wired,Black / Blue
Penclic C2W,0,,,TRUE,Wired,White / Blue
Penclic K2B,0,,,TRUE,Wireless,Black / Red
Penclic MK1,0,Kailh Brown,White,TRUE,Wired,Black / White
Nixeus MK-BL15,0,Kailh Blue,,TRUE,Wired,Black / Gray
Nixeus MK-RD15,0,Kailh Red,,TRUE,Wired,Black / Gray
Cooler Master MasterKeys Pro L,0,Cherry MX Blue,White,FALSE,Wired,Black
Cooler Master MasterKeys Pro L,0,Cherry MX Brown,White,FALSE,Wired,Black
Cooler Master MasterKeys Pro L,0,Cherry MX Red,White,FALSE,Wired,Black
G.Skill Ripjaws KM570,0,Cherry MX Blue,Red,FALSE,Wired,Black
G.Skill Ripjaws KM570,0,Cherry MX Brown,Red,FALSE,Wired,Black
Razer Chroma Blackwidow Professional,0,Razer Green,RGB,FALSE,Wired,Black
FNATIC Rush Pro Gaming,0,Cherry MX Red,Red,FALSE,Wired,Black
FNATIC Rush Pro Gaming,0,Cherry MX Blue,Red,FALSE,Wired,Black
ROCCAT Skeltr,0,,RGB,FALSE,Wired,White
Corsair K95 RGB PLATINUM DE,0,Cherry MX Brown,RGB,FALSE,Wired,Black
Corsair K95 RGB PLATINUM ND,0,Cherry MX Brown,RGB,FALSE,Wired,Black
Corsair K95 RGB PLATINUM UK,0,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
Corsair K95 RGB PLATINUM UK,0,Cherry MX Speed Silver,RGB,FALSE,Wired,Gunmetal
Hcman Hcman H01,0,CK Blue,Multicolor,TRUE,Wired,Black
Asus ROG Claymore Core,0,Cherry MX Brown,RGB,TRUE,Wired,Black
NOX Krom Kratos,0,Kailh Blue,Orange,FALSE,Wired,Black
NOX Krom Kratos,0,Kailh Brown,Orange,FALSE,Wired,Black
NOX Krom Kratos,0,Kailh Red,Orange,FALSE,Wired,Black
NOX Krom Kratos RGB,0,Kailh Red,RGB,FALSE,Wired,Black
NOX Krom Kratos TKL,0,Kailh Blue,Orange,FALSE,Wired,Black
NOX Krom Kratos TKL,0,Kailh Brown,Orange,TRUE,Wired,Black
NOX Krom Kratos TKL,0,Kailh Red,Orange,TRUE,Wired,Black
G.Skill Ripjaws KM570 RGB,0,Cherry MX Blue,RGB,FALSE,Wired,Black
G.Skill Ripjaws KM570 RGB,0,Cherry MX Brown,RGB,FALSE,Wired,Black
G.Skill Ripjaws KM570 RGB,0,Cherry MX Red,RGB,FALSE,Wired,Black
G.Skill Ripjaws KM570 RGB,0,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
G.Skill Ripjaws KM570,0,Cherry MX Speed Silver,Red,FALSE,Wired,Black
Plugable MECH87BW,0,Outemu Blue,White,TRUE,Wired,Black
Plugable MECH104BW,0,Outemu Blue,White,FALSE,Wired,Black
RIOTORO Ghostwriter Classic,0,,Multicolor,FALSE,Wired,Black / Red
ROCCAT SOVA,0,,Blue,TRUE,Wired,Black
AZIO Armato,0,Cherry MX Brown,Red,FALSE,Wired,Black
IOGEAR GKB710L,0,Kailh Blue,Blue,FALSE,Wired,Black
Zalman ZM-K700M,0,Cherry MX Red,White,FALSE,Wired,Black
Zalman ZM-K600S,19.99,,,FALSE,Wired,Black
Genius SlimStar 130,0,,,FALSE,Wired,Black
Gigabyte FORCE K83,0,Cherry MX Red,,FALSE,Wired,Black
Razer Blackwidow Tournament Edition Stealth,0,Razer Orange,White,TRUE,Wired,Black
Cooler Master MasterSet MS120 (US),0,,RGB,TRUE,Wired,Black
Cooler Master MasterSet MS120 (UK),0,,RGB,FALSE,Wired,Black
Cooler Master MasterSet MS120 (FR),0,,RGB,FALSE,Wired,Black
Cooler Master MasterSet MS120 (DE),0,,RGB,FALSE,Wired,Black
Cooler Master MasterSet MS120 (ES),0,,RGB,FALSE,Wired,Black
Cooler Master MasterKeys S (MX Brown),0,Cherry MX Brown,,TRUE,Wired,Black
Cooler Master MasterKeys S (MX Red),0,Cherry MX Red,,TRUE,Wired,Black
Cooler Master MasterKeys S (MX Blue),0,Cherry MX Blue,,TRUE,Wired,Black
Cooler Master MasterKeys S (MX Green),0,Cherry MX Green,,TRUE,Wired,Black
Cooler Master MasterKeys S (MX Speed Silver),0,Cherry MX Speed Silver,,TRUE,Wired,Black
Cooler Master MasterKeys L (MX Red),0,Cherry MX Red,,FALSE,Wired,Black
Cooler Master MasterKeys L (MX Green),0,Cherry MX Green,,FALSE,Wired,Black
Cooler Master MasterKeys L (MX Speed Silver),0,Cherry MX Speed Silver,,FALSE,Wired,Black
GALAX HOF Black Edition (MX Brown),0,Cherry MX Brown,White,FALSE,Wired,Black
GALAX HOF Black Edition (MX Blue),0,Cherry MX Blue,White,FALSE,Wired,Black
Cooler Master MasterKeys MK750 (MX Blue),0,Cherry MX Blue,RGB,FALSE,Wired,Black
Cougar 450K,0,,Multicolor,FALSE,Wired,Black
Cougar DEATHFIRE,0,,Multicolor,FALSE,Wired,Black
Cooler Master MasterKeys Pro S White (MX Blue),0,Cherry MX Blue,White,TRUE,Wired,Black
Cooler Master MasterKeys Pro S White (MX Brown),0,Cherry MX Brown,White,TRUE,Wired,Black
Cooler Master MasterKeys Pro S White (MX Red),0,Cherry MX Red,White,TRUE,Wired,Black
Cooler Master MasterKeys Pro M White (MX Brown),0,Cherry MX Brown,White,FALSE,Wired,Black
Cooler Master MasterKeys Pro M White (MX Blue),0,Cherry MX Blue,White,FALSE,Wired,
Cooler Master MasterKeys Pro M White (MX Red),0,Cherry MX Red,White,FALSE,Wired,Black
Cooler Master MasterKeys Pro L GeForce GTX Edition,0,Cherry MX Red,Green,FALSE,Wired,Black
Ducky Shine 6,0,Cherry MX Brown,RGB,FALSE,Wired,Gold / White
HP HyperX Alloy Elite RGB,0,Cherry MX Brown,RGB,FALSE,Wired,Black
HP HyperX Alloy Elite,0,Cherry MX Red,Red,FALSE,Wired,Black
Trust GXT 280,0,,Red,FALSE,Wired,Black
Tesoro Gram Spectrum (Black w/Blue Switches),0,Tesoro Agile Blue,RGB,FALSE,Wired,Black
Tesoro Gram Spectrum (Black w/Red Switches),0,Tesoro Agile Red,RGB,FALSE,Wired,Black
Tomoko CAAA1-CAAA1-VD,0,Outemu Blue,,FALSE,Wired,Black
Redragon Varuna K559,0,Outemu Blue,RGB,FALSE,Wired,Black
Ducky Rainbow One White,0,Cherry MX Black,,TRUE,Wired,White
Ducky Rainbow One White,0,Cherry MX Brown,,TRUE,Wired,White
Ducky Rainbow One White,0,Cherry MX Blue,,TRUE,Wired,White
Ducky Rainbow One White,0,Cherry MX Red,,TRUE,Wired,White
Ducky Rainbow One White,0,Cherry MX Clear,,TRUE,Wired,White
Ducky Rainbow One White,0,Cherry MX Green,,TRUE,Wired,White
Ducky Rainbow One White,0,Cherry MX Speed Silver,,TRUE,Wired,White
Ducky One Rainbow White,0,Cherry MX Black,,FALSE,Wired,White
Ducky One Rainbow White,0,Cherry MX Brown,,FALSE,Wired,White
Ducky One Rainbow White,0,Cherry MX Red,,FALSE,Wired,White
Ducky One Rainbow White,0,Cherry MX Clear,,FALSE,Wired,White
Ducky One Rainbow White,0,Cherry MX Speed Silver,,FALSE,Wired,White
Velocifire K61WS,0,Outemu Brown,,TRUE,Wireless,Black
Cooler Master MasterKeys Pro M RGB,0,Cherry MX Blue,,FALSE,Wired,Black
Cooler Master MasterKeys Pro M RGB,0,Cherry MX Brown,RGB,FALSE,Wired,Black
Cooler Master MasterKeys Pro M RGB,0,Cherry MX Red,RGB,FALSE,Wired,Black
Cooler Master MasterKeys Pro M RGB,0,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
Ducky One,0,Cherry MX Brown,RGB,TRUE,Wired,Black
SteelSeries Apex M750 UK,0,SteelSeries QX2 Red,RGB,FALSE,Wired,Black
Tecware Phantom RGB,0,Outemu Brown,RGB,FALSE,Wired,Black
Tecware Phantom RGB,0,Outemu Blue,RGB,FALSE,Wired,Black
Tecware Phantom RGB TKL,0,Outemu Blue,RGB,TRUE,Wired,Black
Ducky One 2 RGB TKL,0,Cherry MX White,RGB,TRUE,Wired,Black
Ducky One 2 RGB TKL,0,Cherry MX Black,RGB,TRUE,Wired,Black
Velocifire TKL01,0,Outemu Brown,Blue,TRUE,Wired,Black
Rottay TH-419B,0,Outemu Brown,Multicolor,FALSE,Wired,Black
Tesoro Excalibur Spectrum,0,Kailh Brown,RGB,FALSE,Wired,Black
Topre Realforce RGB,0,Topre 45g,RGB,FALSE,Wired,Black
G.Skill RIPJAWS KM780 RGB,0,Cherry MX Blue,RGB,FALSE,Wired,Black
Cooler Master MK850 (UK),0,Cherry MX Red,RGB,FALSE,Wired,Black
Ducky One 2 (MX Black),0,Cherry MX Black,Blue,FALSE,Wired,Black
Ducky One 2 (MX Brown),0,Cherry MX Brown,Blue,FALSE,Wired,Black
Ducky One 2 (MX Blue),0,Cherry MX Blue,Blue,FALSE,Wired,Black
Ducky One 2 (MX Red),0,Cherry MX Red,Blue,FALSE,Wired,Black
MSI VIGOR GK40,0,,RGB,FALSE,Wired,Black
Redragon K551-N,0,Outemu Blue,,FALSE,Wired,Black
Velocifire VM30,0,Kailh Black,Multicolor,FALSE,Wired,Black / Silver
Velocifire VM01,0,Outemu Brown,White,FALSE,Wired,Black
Cooler Master SK621,0,Cherry MX Low Profile Red,RGB,TRUE,Bluetooth Wireless,Black
Drevo Tyrfing V2,0,Outemu Blue,RGB,FALSE,Wired,Black
Drevo Tyrfing V2,0,Outemu Brown,RGB,FALSE,Wired,Black
Drevo Tyrfing V2,0,Outemu Black,RGB,FALSE,Wired,Black
Velocifire TKL71WS,0,Outemu Brown,Blue,TRUE,Wireless,Black
Drevo BladeMaster PRO,0,Cherry MX Black,RGB,TRUE,Wireless,Gray
Drevo BladeMaster PRO,0,Cherry MX Blue,RGB,TRUE,Wireless,Gray
Drevo BladeMaster PRO,0,Cherry MX Speed Silver,RGB,TRUE,Wireless,Gray
Qwazar Red Shift,0,Cherry MX Red,Red,FALSE,Wired,Black
Adesso AKB-133CB,0,,,FALSE,Wired,Black
Adesso AKB-150CB,0,,,FALSE,Wired,Black
Adesso AKB-636UB,0,Kailh Blue,,FALSE,Wired,Black
Adesso WKB-1200CB,0,,,FALSE,Wireless,Black
Adesso WKB-4040UB,64.99,,,TRUE,Wireless,Black
Adesso AKB-630CB,0,,,FALSE,Wired,Black
Adesso AKB-136CB,0,,RGB,FALSE,Wired,Black
Adesso WKB-3500UB,79.79,,,FALSE,Wireless,Black
Adesso AKB-150SB,0,,,FALSE,Wired,Black
Acco Kensington 64406,0,,,FALSE,Wired,White
Acco Kensington K72357USA,0,,,FALSE,Wired,Black
iKBC CD108,0,Cherry MX Black,,FALSE,Wired,Black
iKBC CD108,0,Cherry MX Blue,,FALSE,Wired,Black
iKBC CD108,0,Cherry MX Brown,,FALSE,Wired,Black
iKBC CD108,0,Cherry MX Red,,FALSE,Wired,Black
EVGA Z10 RGB,0,Kailh Blue,RGB,FALSE,Wired,Black
EVGA Z10 RGB,0,Kailh Brown,RGB,FALSE,Wired,Black
IOGEAR Kaliber Gaming MECHLITE,0,Kailh Brown,Blue,FALSE,Wired,Black
IOGEAR Kaliber Gaming MECHLITE,0,Kailh Red,Blue,FALSE,Wired,Black
Buslink I-Rocks IRK77RP-BK,0,,,FALSE,Wireless,Black
Microsoft 800,0,,,FALSE,Wireless,Black
HP Collaboration,0,,,FALSE,Wired,Black
Genius SlimStar 8008,0,,,FALSE,Wireless,Black
HP Business Slim,89.73,,,FALSE,Wired,Black
HP Slim,69.98,,,FALSE,Wireless,Black
Cougar Aurora,0,,RGB,FALSE,Wired,Black
Cougar Aurora S,0,,RGB,FALSE,Wired,Black
Targus BUS0399,67.8,,,TRUE,Wireless,Black
V7 CKU200MX Spanish,0,,,FALSE,Wired,Black
SIIG JK-WR0H12-S1,0,,,TRUE,Wireless,Black
SMK-Link VP3827,0,,,FALSE,Wired,Black
SMK-Link VP6620,0,,,FALSE,Wireless,Silver / Black
SIIG JK-WR0J12-S1,0,,,FALSE,Wireless,Black
SIIG JK-US0M12-S1,0,,Multicolor,FALSE,Wired,Silver / Black
SIIG JK-US0N12-S1,0,,,TRUE,Wired,Black
SIIG JK-WR0S12-S1,0,,,TRUE,Wireless,Black
Kodak TRUFORM 1150,0,,,TRUE,Wireless,Black
Kodak TRUFORM 1500,0,,,TRUE,Wireless,Black
Kodak TRUFORM 3500,0,,,FALSE,Wireless,Black
Kodak TRUFORM 4500,0,,,FALSE,Wireless,Black
SteelSeries Apex M750 TKL PUBG Edition,0,SteelSeries QX2 Red,RGB,TRUE,Wired,Gray
ROCCAT Vulcan 80,0,Roccat Titan Brown,Blue,FALSE,Wired,Black
Rosewill K10,0,,,FALSE,Bluetooth Wireless,Silver / Black
Rosewill K10 S,0,,,FALSE,Bluetooth Wireless,Silver / White
FNATIC miniSTREAK RGB,0,Cherry MX Blue,RGB,TRUE,Wired,Black
V7 KU300US,0,,,FALSE,Wired,Black
EagleTec KG010-RGB,0,Outemu Blue,RGB,FALSE,Wired,Black
Rosewill RK-9300_BR,0,Cherry MX Brown,Blue,FALSE,Wired,Black
AZIO MK MAC USB,0,Kailh Brown,White,FALSE,Wired,White
SilentiumPC GK530 Tournament,0,Cherry MX Red,Red,FALSE,Wired,Black
Cougar ULTIMUS,0,TTC Blue,RGB,FALSE,Wired,Black
Cougar ULTIMUS RGB,0,TTC Blue,RGB,FALSE,Wired,Black
Cougar ULTIMUS RGB,0,TTC Red,RGB,FALSE,Wired,Black
Tesoro GRAM SPECTRUM TKL,0,Tesoro Agile Red,RGB,TRUE,Wired,Black
Tesoro GRAM SPECTRUM TKL,0,Tesoro Agile Red,RGB,TRUE,Wired,White
Ducky Shine 7 Blackout RGB,0,Cherry MX Red,RGB,FALSE,Wired,Black
Ducky Shine 7 Blackout RGB,0,Cherry MX Black,RGB,FALSE,Wired,Black
MK Night Typist,0,Cherry MX Blue,White,FALSE,Wired,Black
MK Night Typist,0,Cherry MX Brown,White,FALSE,Wired,Black
MK Night Typist,0,Cherry MX Silent Red,White,FALSE,Wired,Black
MK Night Typist,0,Kailh BOX White,White,FALSE,Wired,Black
Tesoro Lobera Spectrum,0,Kailh Blue,RGB,FALSE,Wired,Black
Genius Scorpion K10,0,,RGB,FALSE,Wired,Black
Ducky Ducky One 2,0,Cherry MX Black,Blue,TRUE,Wired,Black
Ducky Ducky One 2,0,Cherry MX Brown,Blue,TRUE,Wired,Black
Ducky Ducky One 2,0,Cherry MX Red,Blue,TRUE,Wired,Black
Ducky Ducky One 2,0,Cherry MX Speed Silver,Blue,TRUE,Wired,Black
Ducky Ducky One 2,0,Cherry MX Black,Blue,TRUE,Wired,White
Leopold FC750R Black PD,0,Cherry MX Black,,FALSE,Wired,Black
Leopold FC750R Black PD,0,Cherry MX Brown,,FALSE,Wired,Black
Leopold FC750R Black PD,0,Cherry MX Blue,,FALSE,Wired,Black
Leopold FC750R Black PD,0,Cherry MX Silent Red,,FALSE,Wired,Black
Leopold FC750R Black PD,0,Cherry MX Clear,,FALSE,Wired,Black
Asus ROG Strix Flare PNK LTD,0,Cherry MX Blue,RGB,FALSE,Wired,Pink / White
Cherry Strait Black 3.0,0,,,FALSE,Wired,Black
Ducky Mecha Mini,0,Cherry MX Blue,RGB,TRUE,Wired,Black
Ducky Mecha Mini,0,Cherry MX Brown,RGB,TRUE,Wired,Black
Ducky Mecha Mini,0,Cherry MX Speed Silver,RGB,TRUE,Wired,Black
Ducky Mecha Mini,0,Cherry MX Silent Red,RGB,TRUE,Wired,Black
Cherry MX BOARD 1.0 BACKLIGHT,0,Cherry MX Silent Red,White,FALSE,Wired,Black
Cherry MX BOARD 1.0 BACKLIGHT,0,Cherry MX Brown,White,FALSE,Wired,Black
Venatos Northern Glow TKL,0,DG Orange Clicky Optical,RGB,TRUE,Wired,Black
Tempest K10,0,Outemu Blue,RGB,FALSE,Wired,
Tempest TGC2000,0,,Multicolor,FALSE,Wired,Black
Corsair K70 RGB PRO UK,0,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
Monoprice Dark Matter Collider,0,Cherry MX Blue,RGB,TRUE,Wired,Black
Monoprice Dark Matter Collider,0,Cherry MX Speed Silver,RGB,TRUE,Wired,Black
Monoprice Dark Matter Collider,0,Cherry MX Red,RGB,FALSE,Wired,Black
Monoprice Dark Matter Collider,0,,RGB,FALSE,Wired,Black
Varmilo Miya68-C Panda R2,0,EC Iris V2,White,TRUE,Wired,Black / White
Varmilo Miya68-C Panda R2,0,EC Daisy V2,White,TRUE,Wired,Black / White
Varmilo Miya68-C Panda R2,0,EC Ivy V2,White,TRUE,Wired,Black / White
Keychron K1 SE,0,Keychron Optical Mint Low Profile,RGB,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron V6 QMK,0,Keychron K Pro Blue,,FALSE,"Wired, Wired",Translucent Black
Keychron V6 QMK Knob,0,Keychron K Pro Blue,,FALSE,"Wired, Wired",Translucent Black
DROP MDX-22176-19,0,Cherry MX Blue,RGB,TRUE,"Wired, Wired",Gray
Keychron K8,0,Gateron G Pro Red,White,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Gateron G Pro Red Hot-swappable,White,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Gateron G Pro Blue Hot-swappable,White,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Gateron G Pro Brown Hot-swappable,White,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Gateron Blue Optical Hot-swappable,White,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Gateron Brown Optical Hot-swappable,White,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Keychron Red Optical Hot-swappable,White,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Keychron Blue Optical Hot-swappable,White,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Keychron Brown Optical Hot-swappable,White,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Gateron G Pro Blue,RGB,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Gateron G Pro Blue Hot-swappable,RGB,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Gateron Blue Optical Hot-swappable,RGB,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Keychron Brown Optical Hot-swappable,RGB,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8 Aluminum Frame,0,Gateron G Pro Blue,,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8 Aluminum Frame,0,Gateron G Pro Brown,,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8 Aluminum Frame,0,Gateron Red Optical Hot-swappable,,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8 Aluminum Frame,0,Gateron Blue Optical Hot-swappable,,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8 Aluminum Frame,0,Keychron Red Optical Hot-swappable,,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8 Aluminum Frame,0,Keychron Blue Optical Hot-swappable,,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8 Aluminum Frame,0,Keychron Brown Optical Hot-swappable,,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Cooler Master CK720 ND,0,Kailh Box White V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 SW,0,Kailh Box White V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 FR,0,Kailh Box White V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 DE,0,Kailh Box White V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 IT,0,Kailh Box White V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 UK,0,Kailh Box Brown V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 ND,0,Kailh Box Brown V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 SW,0,Kailh Box Brown V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 FR,0,Kailh Box Brown V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 DE,0,Kailh Box Brown V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 IT,0,Kailh Box Brown V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 UK,0,Kailh Box Red V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 ND,0,Kailh Box Red V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 SW,0,Kailh Box Red V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 FR,0,Kailh Box Red V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 DE,0,Kailh Box Red V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 IT,0,Kailh Box Red V2,RGB,TRUE,Wired,Gray / Black
Cooler Master CK720 ND,0,Kailh Box White V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 SW,0,Kailh Box White V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 FR,0,Kailh Box White V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 DE,0,Kailh Box White V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 IT,0,Kailh Box White V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 UK,0,Kailh Box Brown V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 ND,0,Kailh Box Brown V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 SW,0,Kailh Box Brown V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 FR,0,Kailh Box Brown V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 DE,0,Kailh Box Brown V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 IT,0,Kailh Box Brown V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 UK,0,Kailh Box Red V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 ND,0,Kailh Box Red V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 SW,0,Kailh Box Red V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 FR,0,Kailh Box Red V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 DE,0,Kailh Box Red V2,RGB,TRUE,Wired,Silver / White
Cooler Master CK720 IT,0,Kailh Box Red V2,RGB,TRUE,Wired,Silver / White
Corsair K70 MAX RGB JP,0,Corsair MGX Steel Grey,RGB,FALSE,Wired,Black
Keychron C1 Pro V2 Hotswap,0,Keychron K Pro Brown,RGB,TRUE,Wired,Black / Gray
Keychron C1 Pro V2,0,Keychron K Pro Brown,RGB,TRUE,Wired,Black / Gray
Keychron C1 Pro V2 Hotswap,0,Keychron K Pro Red,RGB,TRUE,Wired,Black / Gray
Keychron C1 Pro V2,0,Keychron K Pro Red,RGB,TRUE,Wired,Black / Gray
Keychron C1 Pro V2,0,Keychron K Pro Red,White,TRUE,Wired,Black / Gray
Keychron C2 Pro V1,0,Keychron K Pro Red,RGB,FALSE,Wired,Black / Gray
Keychron C2 Pro V1,0,Keychron K Pro Red,White,FALSE,Wired,Black / Gray
Keychron C2 Pro V2 Hotswap,0,Keychron K Pro Brown,RGB,FALSE,Wired,Black / Gray
Keychron C2 Pro V2,0,Keychron K Pro Brown,RGB,FALSE,Wired,Black / Gray
Keychron C2 Pro V2,0,Keychron K Pro Brown,White,FALSE,Wired,Black / Gray
Keychron C2 Pro V2 Hotswap,0,Keychron K Pro Red,RGB,FALSE,Wired,Black / Gray
Keychron C2 Pro V2,0,Keychron K Pro Red,RGB,FALSE,Wired,Black / Gray
Keychron C2 Pro V2,0,Keychron K Pro Red,White,FALSE,Wired,Black / Gray
